DATE,max1ud01,max1ud02,max1ud03,max1ud04,max1ud05,max1ud06,max1ud07,max1ud08,max1ud09,max1ud10,imax1ud01,imax1ud02,imax1ud03,imax1ud04,imax1ud05,imax1ud06,imax1ud07,imax1ud08,imax1ud09,imax1ud10,max1cimax1c11,max1cimax1c12,max1cimax1c13,max1cimax1c14,max1cimax1c21,max1cimax1c22,max1cimax1c23,max1cimax1c24,max1cimax1c25,max1cimax1c31,max1cimax1c32,max1cimax1c33,max1cimax1c34,max1cimax1c35,max1cimax1c41,max1cimax1c42,max1cimax1c43,max1cimax1c44,max1cimax1c45,max1cimax1c52,max1cimax1c53,max1cimax1c54,max1cimax1c55,max1cimax1c51,max1cimax1c15
19630830,0.053826,0.046493,0.048484,0.050396,0.055946,0.055466,0.065176,0.058146,0.042334,0.078908,0.047295,0.049384,0.065455,0.060236,0.066919,0.053630,0.066364,0.058719,0.049373,0.038250,0.047629,0.075788,0.056839,0.050540,0.039515,0.057789,0.060774,0.045991,-0.033333,0.053950,0.060189,0.056461,0.051560,0.034665,0.068323,0.059678,0.069379,0.062766,0.030293,0.084544,0.057898,0.071414,0.049174,,
19630930,-0.002356,-0.012803,-0.015804,-0.024059,-0.008260,-0.018010,-0.026539,-0.014805,-0.020090,-0.026164,-0.010593,-0.004924,-0.013020,-0.023893,-0.025147,-0.013482,-0.021959,-0.000429,-0.029187,-0.037980,-0.007882,-0.001848,-0.016816,0.225714,-0.012281,-0.020140,-0.027990,-0.028896,0.022139,0.004445,-0.028942,-0.009779,-0.013993,0.072502,-0.023350,-0.047356,-0.028720,-0.010704,-0.048004,,-0.056348,0.004086,-0.027828,-0.018677,
19631031,0.012719,0.006270,0.028350,0.016405,0.091621,0.013838,0.030504,0.015139,0.062119,0.011315,0.036634,0.019239,0.032212,0.015658,0.020837,0.036049,0.047402,0.005732,0.014578,0.013815,0.010364,0.006787,0.049445,,0.010329,0.025654,0.029745,0.049567,0.035659,0.138750,0.048027,0.017722,0.024858,0.076767,0.055014,0.045898,0.031341,0.015671,0.010825,-0.030743,0.114739,0.081566,0.015117,,
19631129,-0.006805,-0.006734,0.010759,-0.010187,0.024380,-0.008785,-0.001204,-0.005384,-0.056140,-0.025383,0.010419,0.005412,-0.029173,-0.018414,0.000573,-0.002113,-0.010878,-0.004831,-0.018689,-0.019479,-0.007139,-0.004943,-0.030920,-0.026201,0.014691,-0.014480,-0.006665,0.003103,,0.031431,-0.012634,-0.001988,-0.000917,0.141890,0.002363,-0.009666,0.009552,-0.012028,-0.001893,-0.077984,0.015873,-0.005868,-0.026935,-0.142329,0.090909
19631231,0.023760,0.032327,0.030617,0.031810,0.042509,0.028937,0.027856,0.005561,-0.005972,0.018180,0.019985,0.020928,0.033053,0.019776,0.032172,0.016457,0.022659,0.025866,-0.015015,-0.018663,0.030932,0.015979,0.036600,0.034577,0.042890,0.016369,0.028128,0.050356,0.000000,0.029209,0.055318,0.014342,0.013365,0.017649,0.010452,0.015809,0.029780,0.032411,-0.022144,-0.012726,0.034795,-0.004388,-0.014675,0.002573,-0.014894
19640131,0.026841,0.028749,0.022612,0.040718,0.015675,0.017853,0.026773,0.022019,-0.000010,0.005595,0.028030,0.029621,0.029989,0.008648,0.026369,0.021695,0.033398,0.010271,0.002911,0.010063,0.029796,0.013711,0.013653,0.129032,0.036297,0.032162,0.025608,-0.024356,,0.014464,0.005066,0.021159,0.030858,-0.021305,-0.032922,0.009270,0.032372,0.023847,0.041938,0.091270,0.027428,0.028092,-0.006093,-0.002273,1.000000
19640228,0.017430,0.014314,0.013994,0.019158,0.014255,0.016665,0.025658,0.037686,0.029960,0.008775,0.018915,0.008838,0.015619,0.018052,0.021955,0.012310,0.035887,0.038996,0.021668,0.005114,0.015620,0.017521,-0.020229,0.000000,0.011321,0.017788,0.031636,0.001458,,0.006177,0.011689,0.016858,0.018894,0.152465,-0.029176,0.001012,0.003863,0.048717,0.012998,0.076674,0.011758,0.048046,0.013869,,
19640331,0.014029,0.013433,0.010519,0.035427,0.024357,0.011684,0.029484,0.019381,-0.000773,0.017480,0.015224,0.023262,0.009160,0.031978,0.019273,0.014821,0.022329,0.024241,0.006844,0.015818,0.012937,0.017820,0.063357,-0.124598,0.038464,0.016288,0.028041,0.023448,,0.059413,0.012471,0.018785,0.012615,-0.009615,0.017857,0.034067,0.000638,0.035582,0.037651,,-0.011472,0.012959,0.004697,,
19640430,0.018415,0.009074,-0.001807,-0.008277,-0.005754,-0.005917,-0.023936,-0.015291,0.001474,-0.034906,0.015224,0.023124,-0.022066,-0.003149,0.002533,-0.013210,-0.020898,-0.005332,0.001731,-0.035782,0.021446,-0.024000,-0.007833,,-0.001625,-0.006385,-0.002328,-0.003915,,-0.026063,-0.013887,-0.009753,0.018899,-0.050624,-0.017962,-0.032143,0.007300,-0.029069,-0.038939,-0.113196,-0.029028,-0.018137,-0.006836,,
19640528,0.019544,0.009665,0.023669,0.019722,0.005743,0.025692,0.018063,0.032432,0.013819,0.014689,0.016185,0.015980,0.014435,0.021162,0.017620,0.022630,0.028067,0.011298,-0.000073,0.021066,0.014452,0.004180,-0.037981,,0.018626,0.023370,0.028249,0.013742,,0.047923,0.002352,0.016453,0.024575,0.091082,0.063878,0.020557,0.016770,0.022080,0.016898,0.165493,0.066840,0.028763,0.003692,-0.030534,
