date,bmm1,bmm2,bmm3,bmm4,bmm5,bmm6,bmm7,bmm8,bmm9,bmm10,bmm11,bmm12,bmm13,bmm14,bmm15,bmm16,bmm17,bmm18,bmm19,bmm20,bmm21,bmm22,bmm23,bmm24,bmm25,bmme1,bmme2,bmme3,bmme4,bmme5,bmme6,bmme7,bmme8,bmme9,bmme10,bmme11,bmme12,bmme13,bmme14,bmme15,bmme16,bmme17,bmme18,bmme19,bmme20,bmme21,bmme22,bmme23,bmme24,bmme25
19270131,-4.74048,-0.33939,0.137477,-1.08789,2.174449,1.028248,-1.52586,0.281767,1.007373,-0.50112,-2.66253,-1.16965,-0.87091,1.761509,-2.85603,0.741094,3.901258,0.403031,0.390968,1.537389,-1.64994,14.69027,5.062008,6.219584,-0.35362,-2.43133,-0.17235,0.169927,0.636158,3.456853,-4.2105,-1.88396,-0.43185,-0.66175,0.406867,-7.85996,-0.36636,-0.6842,-0.0818,0.21552,0.197604,2.881839,0.225513,1.92383,1.752413,4.682058,20.34671,7.499309,5.072327,-3.86479
19270228,6.687934,6.970249,1.394118,2.24246,4.891024,7.156517,4.866345,3.926892,3.008691,7.538301,6.25061,1.620026,3.5733,3.69948,4.364205,6.63435,16.55551,7.0429,4.562039,4.788771,11.39071,4.695379,15.40697,6.899892,10.87271,3.994262,6.521761,2.89754,3.400048,3.808567,4.822878,8.427412,2.866931,4.579961,4.154237,7.565416,0.845299,4.993482,4.545386,7.51845,4.279802,10.89444,5.855822,4.769109,6.890156,11.79559,4.845782,13.02601,7.893039,8.902851
19270331,-0.29458,-0.53349,-1.57437,2.732168,1.739399,-2.00136,-5.57319,1.730618,2.063453,2.056962,-8.86112,-4.91765,-1.88211,1.626435,8.129208,-6.26473,-2.12133,-4.48413,-0.94857,1.939406,-2.96161,-11.2639,2.81925,0.408847,-0.41893,-3.53589,-0.1181,-2.73479,3.398207,1.57414,-1.38459,-0.77404,0.88598,-1.65319,-2.64485,-14.8876,-2.22623,-2.8581,0.390023,7.578156,-3.51876,-2.5661,-4.05928,-1.75809,-0.04687,-3.5484,-6.1734,0.627281,0.933268,-2.06237
19270430,-1.55277,-0.29426,4.364725,3.400694,-0.21661,0.950595,-1.98534,-0.64349,-3.22043,6.832491,-5.35469,-3.07043,0.795735,1.110789,1.401701,1.610776,-0.20457,-0.28571,-0.42762,1.637725,0.752922,-4.39284,-1.99329,0.969862,5.789029,-2.6783,2.542025,1.646486,1.335317,-0.2799,-0.09018,-0.07109,0.495099,-1.8053,5.06462,-1.59091,-2.38911,0.477865,0.681401,1.452735,5.771685,0.447087,-0.63413,-1.08681,3.130139,0.983091,-5.24161,-1.77042,11.71291,6.576502
19270531,-3.23022,4.590871,5.581158,7.094312,7.852623,3.371871,3.652156,5.940856,5.009679,4.27362,5.030922,2.365462,6.148752,5.309234,7.502089,3.672936,0.710931,5.219753,7.550302,6.61411,5.29125,13.53652,12.57567,6.747078,9.118359,-3.75709,8.033646,5.497483,9.75205,6.830116,0.263872,3.36936,7.600686,6.403748,3.74794,3.447956,1.540206,6.942225,5.122963,10.43218,1.967234,5.025704,10.77309,7.295955,9.378786,6.667034,17.4561,20.62264,12.31054,8.44368
19270630,-6.6611,-1.8699,0.48509,0.994563,-0.45208,-10.2745,-3.68619,-2.90098,-3.53262,-2.4215,-1.82222,-3.32412,-2.61017,-3.14268,-1.33489,-0.84317,-2.8504,-1.76084,-3.0949,-1.41483,1.298644,-5.89728,2.633828,-3.21074,-4.14049,-8.64756,-0.47622,1.141968,0.314392,1.564279,-9.28257,-2.96671,-0.55142,-2.88775,-3.85984,-2.16603,-2.64719,-1.05358,-2.94668,0.954143,-0.65654,-2.39521,-0.12429,-2.67171,-2.74255,4.68487,-7.65642,-4.5537,-1.5496,-6.39842
19270730,4.253891,6.510805,8.257269,10.5164,13.9983,4.195302,4.340394,7.957545,5.048802,13.10532,8.760441,4.089892,8.645732,7.033989,2.958416,2.773248,8.741619,5.950387,10.71417,4.460808,2.901838,3.339459,10.37594,2.288696,9.804294,6.664284,6.555305,5.481226,6.03527,8.658985,15.28496,9.028215,4.21114,8.078735,10.53194,4.700855,5.672771,7.465754,6.419955,4.261403,4.700114,8.596685,5.078902,6.228009,3.677221,3.389552,5.587867,3.234754,1.734096,9.529629
19270831,1.516023,5.054775,2.734719,6.637449,6.268932,0.817031,0.477803,3.022566,1.681622,0.213388,-1.66906,1.569516,1.620102,-0.83331,-0.44262,-4.0289,-0.51661,1.616608,-0.73932,-5.42299,1.82452,10.65644,-5.52763,-8.43716,-4.33047,-0.39171,3.822261,1.364346,3.693714,2.035946,0.603695,-1.5051,5.474317,3.047806,3.299561,-0.02723,0.367731,2.617722,-1.39262,-1.36207,-2.04162,-1.26303,-0.02329,-0.37056,-5.43461,1.794681,4.04519,-6.21856,-5.44139,-0.32921
19270930,-0.05186,3.684538,6.263735,4.947848,6.561683,4.044387,2.187682,4.73928,6.378989,3.494254,1.587867,6.0208,6.00765,4.088312,9.294567,5.009052,0.647059,3.680532,3.776455,5.819703,3.169947,2.935348,2.096169,6.186842,13.0065,2.818726,3.903446,4.64027,4.744443,5.922694,6.254513,1.997831,3.077727,3.490089,4.369462,3.162151,4.270193,4.054134,3.694166,3.140248,2.940275,-0.70602,2.713623,1.744696,4.832389,0.589626,-0.67046,-3.92295,5.329438,7.47706
19271031,-0.71667,-1.08173,-2.94799,-0.69412,-6.13775,-3.12582,-0.03831,-2.61063,-2.50559,-2.91737,-2.661,-4.70257,-4.25593,-3.17439,0.228219,-2.28612,-3.48025,-3.8357,-9.4846,-6.34442,-9.09535,-9.32131,-14.4136,-12.2092,-10.0065,-8.76811,0.511257,1.181239,0.417885,-2.94512,-3.93509,-3.28324,-2.68373,-1.55542,-1.25794,-2.28588,-5.39107,-1.6894,-0.02053,-0.71161,-4.47271,-2.94062,-5.56026,-3.36881,-6.88806,-10.9324,-6.85484,-8.00926,-6.94225,-8.95949
19271130,7.805171,8.638378,4.490839,6.958598,7.556616,6.706258,5.182004,5.650742,12.50219,9.416818,9.093446,4.526659,6.449407,6.733318,8.959747,6.984679,9.551324,3.064174,10.1784,9.260527,8.288652,14.69916,10.51532,8.052612,8.892002,20.67874,7.050178,6.623299,6.069708,8.028862,8.368953,11.77723,9.30607,10.77968,10.39857,15.93889,8.738624,6.381883,9.288239,2.132756,13.07252,10.32956,4.239205,7.699117,10.35369,12.87938,15.27146,13.12745,9.71008,8.629791
19271231,-2.8767,4.302173,0.542734,1.49446,5.012475,4.05466,1.483981,2.031818,0.742362,6.762527,6.274119,0.078367,1.30627,2.904674,5.255883,4.910836,6.243066,2.061902,1.681863,1.661629,2.103949,10.02696,4.515909,-2.66771,6.7898,-0.96564,0.998338,4.229627,2.515872,6.633307,1.131275,2.828666,3.608739,1.846516,7.288402,5.769889,3.050005,6.556451,2.11725,4.605453,4.745426,4.00867,3.524999,2.528978,3.137866,5.44369,6.925313,4.977044,-2.53427,2.689086
19280131,0.480314,1.620497,1.1394,0.344315,-1.8984,-0.66,-2.4161,0.711644,2.244278,1.058679,0.934556,-2.09184,-0.53526,0.440906,3.281214,-2.70157,1.129514,0.327619,-1.5346,-0.02375,-0.8276,2.654197,-4.19922,-6.53909,1.114964,-0.05998,3.53702,1.063749,1.270279,3.397928,3.076254,1.003452,0.996126,4.15536,2.130028,-1.03841,-0.42692,1.554304,3.362809,4.070546,1.378354,1.804106,3.085733,2.870779,1.109383,9.025853,6.231435,-4.08418,-4.80456,3.947895
19280229,0.034502,-2.14713,-0.96444,-2.51995,0.202478,-0.02172,-0.50604,-0.39554,-2.3848,-1.12651,-2.98672,-1.21144,0.036178,-0.89877,-3.5104,-4.13971,-2.61391,-1.12394,-3.16714,-3.85475,-5.87837,-6.06389,-1.46706,-8.97159,-8.0562,-0.20706,-2.63267,-2.42515,-2.56361,-3.93258,1.61474,-1.70252,-0.93172,-2.67477,-3.86526,-1.22466,-3.14809,0.960927,-3.56792,-3.15036,-2.8019,0.321866,-0.22818,-1.56923,-3.92479,-1.22293,-7.35119,-4.11696,-7.89331,-6.46948
19280331,9.770265,4.167688,5.186758,6.421541,26.47427,7.873181,3.579791,4.775129,5.567016,12.83152,4.015883,5.425199,5.937655,9.104248,7.083918,8.783249,5.175123,4.98247,6.609675,6.612968,6.953667,19.98021,12.22212,7.607098,12.62918,14.47882,2.858903,4.567996,6.580364,14.68662,10.93423,7.054994,9.119008,4.901648,10.80767,3.239363,3.375377,6.1228,9.703431,8.48886,8.873833,2.36089,4.943992,5.663308,4.558223,7.975652,13.60939,15.8266,7.006731,12.35426
19280430,3.723293,6.832172,3.597583,1.838369,1.249978,5.239644,13.25188,5.452875,3.56099,2.162071,12.13244,9.052231,4.671185,4.786398,3.001159,7.561001,4.208123,2.399707,6.520632,1.182353,6.120525,7.997528,3.743771,16.69089,5.950087,3.158072,3.596521,4.168342,2.999592,5.233883,8.911485,7.944701,16.29062,0.959936,5.43772,12.37828,13.10074,3.280581,4.656665,5.228678,3.523406,5.169916,5.811044,4.483193,1.081675,10.89803,35.88715,7.497145,8.404429,13.67473
19280531,2.683191,-0.98901,-0.27107,1.786794,4.199503,5.839128,1.345185,1.831798,2.202124,4.39899,3.48115,-1.10925,-2.62801,1.197604,6.306151,4.589077,-0.56574,1.254525,2.67961,4.958911,-1.67626,0.62069,5.633404,2.77922,-2.81995,2.601879,-0.45253,0.554924,3.682423,5.84312,6.943455,-0.93201,0.279793,2.256636,5.255676,9.018845,0.361763,0.120173,2.31842,2.224298,8.87621,-2.80246,1.52557,7.000822,14.48247,0.73296,9.932457,9.667209,7.561208,1.069472
19280630,-8.52749,-2.54734,-4.13023,-4.24142,-3.05178,-1.8483,-4.42143,-2.56942,-5.75135,-4.70649,-7.7855,-3.54734,-2.46604,-6.04707,-3.52394,-11.6843,-4.5114,-5.14156,-5.92803,-6.75821,-8.78512,-10.708,-8.69012,-10.5263,-4.99288,-8.79394,-6.27973,-4.79484,-6.0364,-4.61515,-6.76837,-3.07046,-2.61735,-6.84407,-4.77909,-12.7338,-5.02482,-4.89207,-7.99633,-7.95679,-10.6515,-5.96886,-6.92231,-4.71347,-8.32202,-6.13223,-12.9851,-7.30727,-12.5173,-8.22698
19280731,-4.85893,-0.18567,3.345428,-0.3828,1.925618,-4.0245,-0.46176,-0.35095,0.581149,2.802056,0.055121,-0.16373,0.782098,-0.29089,0.443206,-0.41917,0.454424,0.9751,2.760402,0.05453,-1.42191,1.961292,-1.32669,2.263686,0.554753,1.095199,-3.11728,2.130147,-0.03866,2.135629,-8.39907,0.489158,0.581753,0.479096,-1.17596,-0.39666,-0.17872,1.135331,2.490293,0.843203,0.844564,1.165278,0.623715,0.958452,0.48805,-2.07947,1.501569,-3.25913,0.993508,-0.70798
19280831,17.56761,5.134356,9.31991,8.909616,9.128263,1.168149,2.842082,6.531992,8.170311,11.34634,7.103892,4.807758,4.428247,6.678672,17.53649,2.733519,3.73866,4.962373,4.821334,11.51269,7.222741,6.233445,11.39461,2.225036,6.989865,4.75554,7.078829,7.708771,9.65404,9.556309,0.378505,6.309597,9.592671,6.265932,8.755146,7.755808,2.64256,4.520609,4.441577,11.30429,1.371244,2.955045,3.721138,4.873415,8.232267,5.419528,1.748984,10.33939,-1.1119,5.956368
19280929,-0.98213,1.003437,0.564119,2.637895,5.565883,-0.06537,0.071906,1.352544,3.863784,4.379931,7.968773,1.771921,2.137838,4.122609,0.772883,0.048769,0.955746,1.23672,6.480989,5.255621,6.547386,0.942569,5.28529,18.32085,18.23114,9.769407,0.785593,1.568994,3.245377,6.290035,0.144433,1.499771,4.596203,4.096981,5.653109,9.010275,2.56894,3.521081,6.168686,2.690004,3.279631,4.497478,3.574702,3.699748,3.502516,8.43731,3.486299,5.909328,19.08132,18.04214
