date,inm1,inm2,inm3,inm4,inm5,inm6,inm7,inm8,inm9,inm10,inm11,inm12,inm13,inm14,inm15,inm16,inm17,inm18,inm19,inm20,inm21,inm22,inm23,inm24,inm25,inme1,inme2,inme3,inme4,inme5,inme6,inme7,inme8,inme9,inme10,inme11,inme12,inme13,inme14,inme15,inme16,inme17,inme18,inme19,inme20,inme21,inme22,inme23,inme24,inme25
19520731,-0.10483,0.59291,0.229364,1.691363,2.552865,2.218444,-0.27553,0.645478,1.054007,-0.48061,3.081951,0.122179,0.154333,1.342039,-0.57545,-10.3803,3.856744,2.438089,1.077039,0.73877,-0.38186,0.579932,1.995902,0.126907,3.003395,0.954253,1.691289,1.867285,1.869463,0.82887,1.556113,-0.18292,0.731355,0.287561,1.61105,-1.42378,1.31384,1.663878,2.048842,0.046558,-1.91091,2.25674,1.404087,0.649984,1.022976,-0.04509,1.304483,3.327773,-1.12752,2.691617
19520829,1.334611,1.825352,0.079766,2.840994,2.661386,-0.67005,-0.02732,-0.45346,-0.62178,-2.44237,-2.17402,0.826176,-1.22901,-2.25203,-2.50773,-0.17621,0.153237,-1.52627,-0.89739,-1.06793,-1.67079,-1.84743,-2.62114,0.20211,0.106455,1.489013,1.205465,-0.43474,1.850942,1.758822,-1.11682,-0.4568,0.419849,0.219091,-1.32184,-2.70118,-0.01607,-0.37584,-0.72861,-0.48194,-0.28766,0.335908,-1.17243,-0.90612,-1.50304,-1.48563,-1.99388,-2.15362,0.414236,0.610904
19520930,-5.30957,-1.42075,-2.07332,0.998346,-0.66862,-5.40202,-2.95294,-4.24299,-5.01261,-2.69303,0.363542,-2.5174,-1.23674,-3.09404,-3.60556,-2.94892,-2.39491,-2.16545,0.484197,-0.597,-8.98398,-1.93617,-1.66052,-0.70624,-0.86217,-4.99182,-1.62867,-0.63364,0.662876,1.497395,-2.47499,-1.69199,-1.90857,-3.31518,-0.91363,-2.95145,-1.97615,-1.31143,-0.97997,-2.37676,-3.79697,-2.85908,-1.77716,-1.09824,-0.38231,-4.11045,-3.0761,0.10602,-0.79189,-0.86113
19521031,0.808805,-3.00289,-0.9701,4.175819,1.694058,-0.92581,-1.95026,0.835933,0.624034,0.286988,-6.37112,0.215759,-0.14884,-0.59983,0.524191,-2.25431,-0.46106,-1.81364,-0.19279,-0.33996,-2.26426,-2.70662,-0.38661,0.990587,1.078167,-2.13106,-2.53782,-1.7999,1.853574,-0.55616,-0.46271,-0.2758,0.181171,-0.84831,-1.73524,-3.98964,-2.50689,-1.81535,-0.74358,0.142624,-1.45923,-0.91534,-1.27026,-0.89774,-0.70339,-3.10377,-1.90808,-1.77148,-1.02406,0.393246
19521128,6.62766,4.239871,3.677471,5.25514,6.695974,6.294303,4.887614,4.04559,2.210807,9.447408,6.186896,4.879701,3.949776,4.017465,8.229819,8.916033,6.55493,8.608588,7.055527,11.74066,7.987439,5.002842,12.18545,8.055251,6.682434,5.95242,3.488335,3.958099,5.102809,7.243712,6.797014,3.344306,4.106597,4.489883,9.155345,5.882192,4.636193,3.48311,6.484871,7.718525,7.530845,6.664166,9.61385,6.838123,9.209685,8.33001,5.438622,8.190743,8.160004,5.896736
19521231,1.449537,2.485388,2.254031,2.127248,7.133897,2.901534,3.766751,2.60123,5.485391,0.82394,0.854549,2.805572,2.085584,3.350679,4.448463,-1.59071,2.539267,1.252483,1.703061,3.539403,0.165367,-0.17223,6.389991,5.95963,2.31069,1.936473,2.000274,2.584679,3.761589,2.726128,-0.56126,2.096186,2.709039,2.790594,1.242413,0.764481,3.424656,3.261773,2.340111,3.712255,0.111456,2.555342,2.175132,2.935973,2.239617,1.78536,0.34247,4.327311,4.479328,1.170751
19530130,2.72783,1.007246,3.712376,0.600984,-0.85414,-0.62603,1.412682,-3.41648,0.918232,-1.29189,-5.08139,-2.13224,-0.82501,-1.24913,0.125081,-1.65017,0.238864,-0.36293,0.143112,-2.45936,-4.13232,0.842935,-0.37258,-0.42133,1.915909,2.355748,2.414196,3.279179,0.699562,2.542924,3.085139,3.033837,0.032192,3.480619,-0.47713,-1.21626,-0.50675,2.699651,1.937724,1.206288,-0.84134,0.87749,1.585197,2.634974,1.141812,-1.222,4.096605,2.530671,1.990874,3.177772
19530227,1.337706,-2.32775,0.526294,1.34946,-1.01265,-0.62737,1.075881,0.488321,1.530711,-0.5541,-1.73404,-0.115,-0.14045,0.320975,-1.88164,-0.08346,-1.11388,-1.80934,1.484541,0.091297,-0.89608,-1.88692,-0.10724,0.550034,0.923149,3.746846,-1.28771,4.09717,1.905117,1.753046,-0.48377,0.76704,1.800725,1.126984,0.259727,0.720336,0.126709,0.891268,1.148371,1.45889,0.79608,-0.07685,-0.7056,1.960434,0.350319,-0.97372,0.414378,-0.33038,0.787236,1.082903
19530331,-6.56494,0.60741,0.617846,-1.19122,-4.71724,-2.00699,-2.69305,-0.89719,-0.85773,-0.57443,-1.15006,-1.64805,-0.90471,-4.11233,0.088301,-1.25027,-0.65954,-4.0117,-0.97053,-0.89973,-3.53186,14.84399,-0.47376,-1.54931,-0.15876,-3.14493,-0.85114,0.399681,-1.09583,-0.72929,-0.64859,-0.80991,-0.09178,-1.78431,0.894981,-4.02337,-0.26872,0.030834,-2.91707,-1.17346,-1.72078,-2.20524,-2.51627,-0.86715,-0.96572,-2.87441,8.804667,-0.82136,-1.46066,-2.65818
19530430,-3.49779,-1.16896,-0.18071,-2.62746,-0.7264,-4.93285,-3.38462,-2.21702,-0.73709,0.722185,-4.58834,-4.87469,-2.03235,-1.87087,-1.57488,-5.30909,-3.87357,1.514089,-0.49595,-2.29705,-5.8954,-1.12184,-1.11454,-3.36756,-3.50164,-3.39077,0.891505,-0.88832,-0.28907,0.597928,-3.67167,-1.64771,-0.96962,-0.80545,-0.95102,-4.70494,-3.77237,-2.66081,0.085543,-0.30107,-4.24939,-3.08183,-0.2636,-1.09152,-0.93667,-4.65709,-1.86501,-1.09408,-3.16593,-2.26546
