date,maxmv1,maxmv2,maxmv3,maxmv4,maxmv5,maxmv6,maxmv7,maxmv8,maxmv9,maxmv10,maxmv11,maxmv12,maxmv13,maxmv14,maxmv15,maxmv16,maxmv17,maxmv18,maxmv19,maxmv20,maxmv21,maxmv22,maxmv23,maxmv24,maxmv25,maxme1,maxme2,maxme3,maxme4,maxme5,maxme6,maxme7,maxme8,maxme9,maxme10,maxme11,maxme12,maxme13,maxme14,maxme15,maxme16,maxme17,maxme18,maxme19,maxme20,maxme21,maxme22,maxme23,maxme24,maxme25
19270131,-10,-1.16966,0.384831,1.454964,-2.45212,2.429818,1.024572,-0.44208,-0.75353,0.301661,-0.34574,3.383818,0.697746,0.91667,1.024557,-2.2405,7.274567,-3.99325,-1.14235,-1.58411,-3.06174,-1.99584,7.484774,-4.86891,0.288266,-10,0.464624,0.984595,0.970482,-0.01675,1.774691,1.215152,0.722586,1.244719,0.418005,-1.71849,3.069467,0.70442,4.744255,2.898632,-2.1437,10.01254,-2.69799,-3.62538,0.172141,2.470807,-0.00934,8.169471,-8.2967,-5.91632
19270228,5.550424,4.61321,2.914231,3.452497,4.558319,8.757046,7.680347,2.579159,2.578983,7.481346,2.23915,6.30311,8.740137,3.391735,5.184115,10.92473,7.051569,3.171045,10.84408,4.151552,6.050203,15.26439,3.129773,4.368669,1.266269,-0.0041,8.526383,4.857703,3.470238,4.658247,6.690357,8.300696,3.200274,4.706413,7.254679,4.696329,7.560485,9.085967,4.401154,6.057264,7.325234,5.904171,3.742891,10.65637,4.21202,4.907163,10.70122,5.481487,5.727391,3.514231
19270331,3.182779,-4.29629,-2.03218,0.567572,0.737469,-5.06516,-4.29727,-0.89323,3.310122,1.01748,-9.6364,-4.33786,2.332183,0.495534,7.680905,-2.75475,-5.03351,-3.14387,3.129451,1.299191,-5.82886,-6.25025,-1.52323,-7.92334,-2.00714,-0.35129,-2.02293,-1.69373,-0.20411,-0.28781,-2.18398,-6.3368,-2.19355,1.197737,1.827401,3.742406,1.022015,-2.18142,-0.6384,3.802581,-9.09659,-4.69887,-1.06936,2.448449,1.942285,-4.79492,-4.76664,-0.63569,-8.14635,-8.10292
19270430,-5.61705,-2.76744,3.111194,0.081701,4.465772,2.701049,3.473964,0.663532,1.493325,4.59566,-5.83415,-0.58824,-2.01197,5.538148,2.246416,-0.33458,-1.9146,-1.58261,-1.1305,0.910392,-2.70899,-4.20095,-5.35478,0.715781,8.021846,-4.20817,0.077601,1.749103,0.680931,3.691679,-0.20836,4.56685,1.437537,-0.26904,2.498139,-1.48923,-0.55552,-2.82618,1.897498,0.642045,1.65897,-3.2063,-1.27534,-1.57019,3.371603,1.303307,-2.41467,-3.57718,9.461941,8.123767
19270531,5.655528,3.146408,6.120417,5.380428,7.934028,1.996386,3.932069,4.640941,5.33793,6.626464,6.836742,5.077645,7.508588,10.25281,5.854726,1.138803,3.374946,3.861837,10.16215,9.634693,1.989816,13.64066,18.13821,12.55944,8.73571,7.118064,1.314012,5.876643,6.188486,8.61658,0.646497,4.200764,6.972953,5.900646,5.773811,8.248233,9.773632,12.13256,6.405081,9.063886,0.418641,6.660331,1.396566,14.75516,10.88117,1.150868,8.859544,17.00444,14.34208,8.09388
19270630,-1.84257,-2.2467,-1.6473,-3.4122,-1.54196,-4.17705,-3.39995,-3.14545,0.438789,1.57611,-8.30681,-4.88204,-0.94642,-3.25144,-3.51938,-6.34919,1.402347,3.883608,-0.52031,-3.47556,-1.68257,8.651431,-3.14876,-1.82459,-7.77582,3.904833,-1.40003,-1.72341,-4.01187,-0.55726,1.504158,-5.2804,-1.59855,-0.02451,0.67868,-6.09949,-5.29863,-1.06504,-0.74355,-2.80949,-1.162,5.041357,1.04912,0.617321,-4.38523,-8.06452,1.367289,-0.99494,-0.59684,-6.99156
19270730,5.016256,3.885261,8.944478,7.510938,7.822805,4.212307,5.010892,4.940031,14.29385,13.04013,4.159307,5.13354,8.97489,6.077265,9.643424,7.370458,6.252307,2.946732,6.27884,4.120575,5.805975,2.689942,10.29327,4.164594,2.733079,5.274606,7.186163,6.985544,7.032561,16.94082,4.791961,6.042842,4.565434,8.487356,7.627913,5.189164,5.605875,5.682401,4.710433,8.813826,6.096476,4.800675,2.4866,6.051909,4.09568,5.162904,5.558347,4.518805,1.768318,6.056853
19270831,-0.05439,0.972517,1.150232,0.353834,3.149672,-5.81834,2.350302,1.899159,4.087843,5.517766,0.10329,5.458116,2.19542,6.899129,-1.67135,1.486375,-3.56089,-0.58453,2.224034,4.473485,1.297374,-3.24431,4.392443,-3.55506,-1.00018,0.668758,0.466842,1.876567,1.383771,0.640482,-6.21508,1.793673,1.783058,2.088711,-0.03941,1.232813,2.578568,-1.39577,3.110449,-1.43756,-0.50612,-4.98066,3.6274,1.555477,0.1461,1.512834,-2.80759,-1.55177,-7.6965,1.419623
19270930,0.843135,3.45912,4.032744,4.175713,8.001707,2.726364,4.124357,6.844742,5.435842,5.484447,7.235715,5.046938,7.462771,3.252703,5.350129,-0.55826,2.619357,4.079269,7.730472,10.72799,-0.35122,-0.31819,2.545043,6.577295,-1.08816,5.402667,2.151007,4.013115,3.185192,7.024869,6.185389,3.275099,3.759367,3.998253,6.672576,5.277562,3.738352,1.892207,2.738947,7.544859,-0.16672,2.635875,2.380151,5.132963,6.295179,0.240476,-3.15775,-0.54674,1.594815,-1.37026
19271031,3.979848,-1.57258,-3.3488,-3.35628,-4.90448,-4.24474,-2.92112,-3.58692,-8.04704,-5.38343,-4.90266,-3.39805,-3.71086,3.490464,-5.41469,-3.95071,-6.51746,-0.35295,-7.8611,-5.0985,-7.67923,-6.59524,-2.47305,1.514464,-9.49224,2.271062,-3.34183,-2.16484,-3.30088,-1.23838,3.807132,-2.0702,-4.55231,-2.97711,-3.86117,-1.70226,-4.34379,-1.67923,-0.15427,-5.10629,-5.97836,-6.26406,-0.19932,-0.62542,-3.15646,-8.50918,-6.83927,1.748323,-4.00207,-9.40221
