date,retm1,retm2,retm3,retm4,retm5,retm6,retm7,retm8,retm9,retm10,retm11,retm12,retm13,retm14,retm15,retm16,retm17,retm18,retm19,retm20,retm21,retm22,retm23,retm24,retm25,retme1,retme2,retme3,retme4,retme5,retme6,retme7,retme8,retme9,retme10,retme11,retme12,retme13,retme14,retme15,retme16,retme17,retme18,retme19,retme20,retme21,retme22,retme23,retme24,retme25
19270131,-3.1882,0.018758,3.534605,0.834245,-1.58496,-0.5002,1.661334,-0.06665,0.252744,-0.16589,-8.82431,-1.40679,1.514227,-1.25841,-0.34279,2.783779,-1.90065,1.320011,1.180945,-0.03264,5.605184,-0.92189,4.127986,-0.38596,-0.16791,-1.5017,0.365943,4.122898,1.35193,2.664708,0.313136,2.50388,0.417507,0.252609,2.205124,14.27157,-0.45219,2.387201,-0.2524,2.392259,11.85258,-1.55339,1.54823,0.876514,0.64509,4.028619,-1.06629,1.132766,-0.49437,1.416875
19270228,4.841953,9.121755,8.174364,2.619511,6.875697,5.143495,4.782446,4.277188,0.617476,5.711632,2.759811,6.85833,6.019549,3.200182,2.95669,3.357007,4.952133,5.932334,2.864329,3.844221,7.241169,4.137467,5.147301,3.993098,8.780401,6.851263,8.624476,9.866866,1.438074,6.431982,4.791148,6.226659,8.421643,4.742339,7.086408,-3.29185,8.773983,5.785456,4.212856,3.887257,3.324052,3.330028,7.637964,2.902862,5.141153,7.654786,5.222002,7.869277,5.317322,5.162706
19270331,-2.13534,-5.95591,-6.4663,-3.40005,-4.5854,-10.5129,-7.16901,-2.9121,-2.62688,2.906232,5.328252,-1.5357,0.661506,-0.57305,-2.56276,-1.9795,-0.02588,3.940222,2.126676,3.532753,-1.73576,-4.02235,-1.69182,-3.33709,6.299226,-4.43966,-5.20931,-4.97176,-4.05029,-7.97373,-4.34778,-4.4876,-2.37136,-2.67727,-1.50818,7.193176,-3.02854,-1.32058,-1.64012,-0.1757,-2.40798,-3.17499,2.66321,0.784571,-0.10661,-3.65492,-4.14324,-2.1086,0.434221,2.544062
19270430,-2.14906,-0.87293,-1.22749,1.158944,-0.10654,-5.04092,-2.55228,-1.90807,2.970124,-0.26131,-0.78339,-1.34664,0.259598,-0.20061,1.39519,2.942096,6.494773,-0.7059,2.117707,5.194621,1.935244,-3.68133,-0.8508,-0.72472,2.065476,1.85852,0.88619,-3.02493,-2.18703,-2.12113,-3.98798,1.201191,-0.1477,0.727545,0.855406,0.008555,-1.69609,0.589252,0.132941,2.415717,0.879622,2.113636,0.294318,0.127305,3.178899,1.952435,5.322844,5.135494,2.587579,2.392758
19270531,2.369235,2.86214,6.557567,3.600914,5.015561,4.533167,4.176736,3.952597,4.706188,7.705632,3.390058,6.534001,6.523121,5.837313,5.37349,17.34561,3.849628,4.359608,5.614383,9.459406,12.6651,9.312316,5.296263,9.912617,5.309417,1.498804,-2.14658,9.867246,4.525924,8.069245,5.060507,3.203457,4.372392,6.559219,7.479876,0.85755,13.04854,6.409992,10.61726,4.72918,8.956738,10.04556,5.342913,7.238831,9.077342,11.03257,12.21919,9.102238,6.666351,8.703654
19270630,-3.34173,-3.97234,-8.1584,-5.56267,-4.24479,-2.75705,-3.49972,-1.22926,-1.71868,-2.4471,-4.27966,-2.20546,-2.21846,-3.07927,-2.40719,-7.66706,-0.13201,-2.34479,-0.77178,-3.57369,-1.84608,0.917866,-1.65621,-0.94236,-1.73573,-9.67461,3.19744,-4.27756,-7.41031,-6.31535,2.109372,-4.08282,-0.82273,-0.77794,-1.77135,-11.0586,-1.63779,-2.49319,-1.85208,-3.71571,-7.52627,1.501717,-1.42114,-0.98243,-1.71954,1.028621,-0.50452,-1.73616,-2.96024,-3.00077
19270730,6.266578,2.508083,8.104997,4.195657,4.995699,-0.11247,3.937007,8.748348,6.511123,10.80353,5.482993,5.483838,7.481172,7.543469,9.5619,8.485296,13.97434,5.524918,6.877936,6.557551,6.755928,8.539494,5.103271,5.299484,13.18869,4.53387,4.016877,6.718512,4.435418,4.922708,-0.0778,5.606768,7.778635,3.90603,4.817029,13.32233,2.133063,6.347778,5.769905,7.700226,7.297685,5.577854,5.377861,6.127353,4.503859,9.905034,5.986664,5.810149,3.229329,10.77422
19270831,-0.81515,-1.93702,-3.95541,-3.30408,1.74238,4.054638,1.816514,0.210118,3.669011,2.384513,2.822935,4.264286,0.343919,2.17059,0.579725,10.69452,4.388657,0.124677,2.564249,0.756309,-5.62944,7.623352,0.942264,-2.34253,6.554864,-2.83486,-1.32404,-2.9136,0.339132,0.644344,3.884642,0.165291,-1.44735,0.98401,1.936724,0.741477,2.741759,0.696796,1.967953,4.43394,6.667963,1.749679,0.584665,0.546055,1.76802,3.120485,-0.03681,-1.27766,-3.05787,-2.13315
19270930,-4.1543,2.328584,4.879425,1.254879,3.368185,7.770001,2.634783,3.207371,1.496904,2.80001,7.775727,7.841225,6.242702,5.18788,6.62655,1.211886,7.605929,3.492352,4.750819,9.735953,9.970859,-0.30973,4.153051,5.245152,7.704467,-2.0382,1.407409,4.079206,1.027622,1.6127,7.982725,1.099747,1.173292,0.717609,0.818592,6.110021,6.519929,1.478489,3.19352,3.80883,1.579562,5.813171,3.38721,4.202354,9.160428,7.90737,0.810014,4.111824,5.654096,4.418668
19271031,-4.54593,-5.02459,-3.65123,-2.48455,-7.41033,-0.02874,-1.61435,-2.19272,-2.39458,-2.3892,-1.2012,-2.79107,-3.11496,-4.01357,-3.66201,-7.46524,-4.26163,-1.67275,-6.27553,-6.70712,1.815207,-8.83737,-0.90664,-4.37091,-5.77276,-5.44768,-5.41515,-4.24144,-6.06456,-2.3005,-4.12601,-5.35198,-0.21233,-3.06455,-4.93438,-5.6619,-0.62542,-3.29591,-4.31345,-6.04964,-11.219,-5.54346,-0.32518,-4.36253,-5.30275,0.522087,-3.72277,2.805764,-2.68147,-4.71182
19271130,10.55159,8.853071,12.21669,16.02892,6.672016,2.831199,6.324788,4.929719,6.474747,8.240913,3.541172,7.779366,4.271729,3.681935,3.557044,5.389458,8.484491,7.220754,5.19145,9.397693,19.75421,16.33561,10.31689,10.81555,7.496271,36.44314,13.96572,11.1035,13.23497,5.726591,3.460178,7.906462,6.394022,6.393595,8.319108,3.689162,8.235529,5.573262,5.145701,5.899397,14.50836,9.051676,9.80576,5.982488,7.206041,20.38479,14.43846,5.823281,8.35039,10.0597
19271231,7.122076,6.476357,1.451528,-1.59091,2.486472,-0.25331,0.77533,5.587928,2.245195,-2.2917,-0.4464,3.671047,2.38331,1.063197,-0.23231,4.452029,1.653613,1.142855,1.941867,4.510148,-4.44224,2.811368,1.387269,4.726995,5.071367,7.359163,3.143372,-2.84117,5.490627,-1.13572,1.196413,2.584532,5.583195,1.337675,-2.34455,1.666086,7.494361,3.951692,4.025233,0.769194,5.073787,1.255737,4.433188,2.923799,5.867038,-0.40683,5.517649,3.63139,4.600355,5.935437
19280131,-3.15118,-2.73555,-0.09392,-2.71614,1.646151,-1.90147,-0.55952,0.259397,2.745411,-0.27208,1.966903,-1.78207,-0.1158,1.925916,-1.92425,-2.35572,-0.47807,-0.34214,0.044644,-1.17483,1.176107,-1.12129,-1.55756,-0.50269,-1.54308,1.547894,-0.06116,2.313014,0.583518,0.605758,5.031114,5.186332,3.428885,5.710098,0.329373,2.344609,0.539807,0.452807,4.20252,-1.98376,0.1533,4.083382,1.354774,1.68395,5.829361,16.61447,2.083776,-0.11317,2.042626,5.027249
19280229,-0.36644,-2.94606,-5.61766,-2.86289,-5.87154,0.009211,-2.30312,-2.05204,-1.11711,-3.9276,-2.45043,0.203396,-0.20303,-2.0546,-2.50829,-5.46466,-1.04558,-1.08024,-1.89364,0.650154,-3.04229,-1.91602,-0.33879,-1.17063,-6.38496,-1.19305,-1.45,-4.55199,-2.82042,-6.76565,1.835708,-3.82614,-1.51556,-2.70915,-4.715,-2.78846,0.196718,0.609879,-3.4624,-2.62272,-5.471,-2.43481,-0.4436,-2.10453,-4.84126,-5.30604,-0.39266,-3.2666,-1.83896,-6.42433
19280331,6.176186,4.943536,7.01345,1.586156,20.89389,8.683455,4.097134,5.589021,5.696063,6.178168,16.29636,3.254306,4.060205,7.134777,20.79017,16.08989,5.537558,9.082053,7.238222,11.44039,12.09848,5.935771,7.663013,15.93533,9.497635,4.220109,6.205516,16.46951,3.466082,11.60128,7.348495,4.201899,4.69104,14.53463,7.780684,8.124261,2.658486,5.551133,6.107645,7.290192,8.406834,5.398071,7.01176,6.743167,8.044877,9.739774,4.7451,7.027486,15.82099,10.18859
19280430,9.610968,6.468253,5.600448,0.132573,3.221367,10.36267,16.01484,6.344707,2.708803,-0.75674,9.075555,6.499,4.858705,4.327501,1.712233,10.41752,7.202267,6.268633,3.919198,0.122217,13.37542,3.158745,3.827243,5.779169,3.910722,5.277508,7.473607,5.803129,8.142599,6.125347,13.64735,23.97799,7.058692,5.243139,1.053229,11.27912,4.703399,7.928301,5.404924,3.103234,16.51105,10.05524,6.841311,3.370741,4.193534,29.25107,5.086814,5.052731,7.393249,9.691057
19280531,0.404141,1.306069,-2.50887,-0.16854,-3.54155,3.466371,0.226721,-0.42525,-1.34518,2.60283,3.540216,1.191323,0.333445,3.052161,3.310504,13.95075,-1.37268,3.047565,2.779896,2.353303,6.642702,-1.27583,4.589658,4.166252,5.16352,19.00904,1.893069,3.787748,0.375287,-1.72916,2.34497,-0.95916,-2.90365,-0.85478,3.342764,4.019429,-2.17613,1.148226,3.830227,1.923732,8.305445,1.080149,1.826738,2.958194,3.379816,20.39209,0.888043,9.747248,6.120192,1.643294
19280630,-10.3955,-10.4169,-4.31727,-5.14757,-4.88418,-8.08533,-5.06042,-4.07729,-4.49069,-4.13234,-5.83267,-2.79915,-2.94024,-5.46523,-4.67074,-8.38702,-5.18673,-4.09143,-4.9696,-5.73819,-13.3298,-5.47,-4.27703,-3.8344,-2.97303,-12.2535,-10.7593,-5.4818,-6.06613,-10.126,-5.84976,-3.75197,-5.2322,-3.90977,-6.4755,-10.5226,-5.4019,-4.43436,-5.58889,-5.51086,-7.26962,-5.49015,-5.53826,-5.2052,-8.29514,-10.0238,-10.8613,-7.34214,-4.77563,-9.94397
19280731,-5.52296,0.513285,0.756715,2.617418,-0.29224,-1.73337,1.008532,0.261987,1.62032,0.748795,-0.21296,0.004374,-0.29942,3.635953,1.67229,-1.77512,-0.36551,0.808431,-0.38971,3.663315,-1.21289,-0.60163,-1.22463,4.943505,1.325234,-1.76154,-0.18944,-2.61909,2.22942,2.105796,-2.58074,-0.23532,-1.37117,0.747802,-0.62829,1.067408,-0.08704,0.216024,2.801859,-0.34981,-1.35919,-1.93909,2.037694,0.544487,1.068553,0.092749,-3.18746,-0.0234,7.059077,0.967555
19280831,11.62683,3.659747,3.466083,7.607548,8.318532,4.979654,4.368605,6.326747,4.888647,7.924819,1.635555,3.88144,6.313509,8.079538,3.329404,6.424669,6.964609,6.055937,9.795482,12.62364,12.6053,4.175812,12.39437,8.721019,14.98682,4.547644,2.942581,3.587303,10.84994,6.910946,6.236962,6.133807,3.004606,5.515504,5.999062,2.468575,3.657684,6.596525,5.273607,2.348673,4.566587,4.513244,7.097347,6.573283,16.95318,4.296544,5.502668,5.535773,9.286574,8.52968
19280929,0.437873,3.30027,1.877792,2.803893,5.119386,3.379588,1.879099,-0.30715,0.394079,2.069268,1.950892,1.386286,1.202152,7.130206,3.601731,1.958538,1.279592,4.248324,2.594532,7.200271,11.54011,13.88521,1.842354,5.999816,7.1761,7.347622,5.694943,7.89967,6.092354,6.48248,7.794461,3.480279,2.183396,2.291226,1.953628,2.893101,1.814765,1.551355,4.322461,3.086811,5.345811,5.058201,6.014035,4.029977,7.532654,9.464495,9.559715,5.587059,7.977875,7.593198
19281031,-2.58304,18.45855,-3.12938,-5.79134,8.786731,-2.68645,1.027274,0.553886,4.416847,4.06436,-0.49393,1.038685,-0.09973,0.830556,1.486403,0.258894,0.879866,1.19748,5.579258,1.501859,0.243806,2.163586,1.786241,3.129389,7.832706,0.679142,2.245964,-3.51427,-4.15621,-0.31641,-1.61477,1.936668,1.10003,2.21126,7.699466,-0.86419,1.537692,0.967212,-0.31119,6.307417,1.834344,-0.61772,0.371178,1.764227,3.823126,0.193742,0.91018,8.568152,2.236692,6.660014
19281130,7.309159,8.895344,8.684047,16.39786,12.47696,6.169382,8.810816,16.34295,8.937869,32.11002,10.46438,8.393717,15.80453,15.60958,18.26918,15.74262,8.291385,15.12705,11.76543,5.687373,21.70818,13.56592,6.497494,16.068,26.065,7.799746,14.41824,9.405484,9.231521,17.62155,9.490785,7.794725,8.495446,11.38057,22.7479,14.99795,10.36175,10.79948,9.699437,11.66017,13.51681,9.008947,12.61828,9.447034,15.90098,21.47778,15.03916,9.206301,11.98221,15.78295
19281231,1.476132,-4.13974,-1.73151,-10.5528,4.315448,0.092596,0.149592,4.489934,2.915464,-6.98074,-1.34934,-0.61115,-1.37989,5.416403,-2.21208,-2.67073,-3.12395,0.366327,1.98379,-2.22122,2.754817,-0.76812,6.204721,0.840956,2.564166,-5.42972,-3.35533,-3.60237,-5.37858,2.186071,-0.76538,0.302676,-1.86249,2.466365,-9.57079,-0.36166,-1.44952,1.089262,5.035449,-2.1742,1.417033,-1.27865,1.817575,0.339077,-1.4921,-1.57022,3.335647,1.290741,2.128368,1.448607
19290131,0.639703,4.228832,3.320581,4.704101,1.39991,4.483964,5.198635,7.726736,3.774046,4.636626,2.703983,3.116088,7.063334,4.813675,3.823557,2.188401,2.769063,3.928183,11.3237,10.52575,0.699155,4.321469,7.453033,-1.34144,-1.22712,-0.8002,4.965104,1.018388,4.611841,-2.80472,1.871927,4.573167,3.31098,5.256378,10.93631,1.011287,0.820337,4.672468,6.328911,3.716781,-1.38873,2.140929,4.06428,8.444236,3.281029,2.530333,3.766955,10.36448,4.374821,0.035493
