date,opm1,opm2,opm3,opm4,opm5,opm6,opm7,opm8,opm9,opm10,opm11,opm12,opm13,opm14,opm15,opm16,opm17,opm18,opm19,opm20,opm21,opm22,opm23,opm24,opm25,opme1,opme2,opme3,opme4,opme5,opme6,opme7,opme8,opme9,opme10,opme11,opme12,opme13,opme14,opme15,opme16,opme17,opme18,opme19,opme20,opme21,opme22,opme23,opme24,opme25
19510731,3.372947,5.728496,9.326947,9.719836,7.87858,1.154023,4.651406,10.44333,8.410826,12.4414,4.569054,5.84011,9.038414,8.867153,10.1742,4.052871,6.350822,9.569095,7.59861,11.15538,3.941178,5.186499,2.67116,10.93896,12.13599,3.25846,5.645709,6.82578,7.350104,10.05011,1.200915,5.934764,6.80635,10.56252,10.69989,5.516698,5.593835,7.568256,5.567234,9.308379,2.590602,4.298919,9.006342,11.22192,10.71855,3.444677,2.967172,2.711757,8.035713,12.49453
19510831,2.978288,5.197681,2.716055,10.16926,12.27397,5.400223,5.259389,8.227833,6.096309,3.394377,3.964371,4.143757,6.015609,2.169897,2.652869,10.71938,2.78392,5.292479,6.452016,1.376185,4.769591,6.943117,7.181619,5.74781,-0.94599,3.982721,4.535619,5.266406,12.31184,11.46962,4.648623,4.350681,5.712523,8.165922,0.72334,3.316321,5.085074,3.99499,2.231575,3.661504,7.366901,3.850635,5.198408,8.368301,4.658389,3.925118,6.646592,6.785715,4.986689,0.64761
19510928,1.069818,2.653232,1.376261,0.451688,-3.4819,-2.07115,2.660061,3.457618,5.206278,-3.13712,-1.17394,5.658156,3.783472,1.185015,-0.41129,-1.5328,-0.53595,-1.143,0.621551,1.438338,1.575757,2.138368,4.274619,7.447897,-2.23411,1.530276,3.732864,3.239127,1.646332,2.278088,1.129744,2.472812,2.406565,6.232969,3.95236,-1.69738,0.885294,2.933456,2.744051,1.223675,0.825804,1.782989,-1.13833,1.050866,1.410165,2.916635,0.496043,5.144092,4.10867,-0.98197
19511031,-2.62039,-2.88119,-3.49844,-1.28805,4.46906,-3.30373,-2.04415,-0.97239,-3.51432,3.718883,-3.87413,-7.20554,-5.74865,-0.76301,-2.69574,-2.62484,-0.34029,-0.79682,-3.46368,-6.60424,-3.183,-1.98458,-6.08088,-8.29262,-3.83358,-2.10689,-2.80019,-4.31414,-3.72852,0.312456,-2.06545,-2.2809,-2.97393,-2.10528,-3.08701,-3.74726,-4.80092,-3.82235,-2.98192,-2.28559,-2.60673,-0.27257,-0.11175,-1.09652,-5.34245,-2.21115,-2.08654,-3.92961,-5.9789,-3.92634
19511130,1.210968,2.377647,1.528563,-0.52139,-1.17539,2.953594,3.049728,0.150924,1.879874,1.201361,-0.13262,0.019389,5.664687,-1.95752,-0.5127,2.31353,-0.17088,-1.8138,-0.98533,1.448305,2.889581,2.101605,0.888064,1.979085,2.496929,1.315882,1.198945,-0.20389,2.108978,4.508874,0.782908,1.791587,0.581277,0.71498,1.147973,1.95013,0.118436,1.857159,-0.67742,-0.46838,2.03509,-0.24336,0.857714,-2.65726,3.291572,1.403863,0.8356,2.029121,5.081009,3.440857
19511231,-0.37805,-1.50494,1.982922,3.331768,2.808307,-1.33327,2.675711,3.910539,4.224358,7.360459,2.432404,1.30647,0.666158,5.407754,4.616813,0.521921,1.926618,3.38659,7.335254,11.38804,-0.37615,0.340268,3.273298,6.305298,6.210046,0.429854,0.506313,1.877069,1.555114,0.341856,-1.22523,1.67848,2.482867,2.634899,2.671562,2.263961,2.036158,1.103363,3.270396,2.51826,1.128965,3.130102,0.338736,3.464192,8.457667,0.900199,1.207218,3.346503,5.474683,5.556364
19520131,1.88378,3.059353,2.149109,5.511557,6.446377,-5.33181,5.566011,2.794352,2.146849,5.780663,0.261624,3.15357,-0.70927,8.638703,4.701841,-1.65079,0.833292,1.208122,-2.24672,-2.01526,4.519614,3.494462,-2.05124,-1.73643,3.236398,0.975268,2.245817,1.124934,0.429339,3.082833,-1.20526,1.739358,3.075228,0.996971,2.018723,-0.36543,2.506332,1.053513,4.617905,1.486976,-0.23377,1.400702,1.397571,-2.25878,1.57247,3.174721,3.907208,-2.77605,-1.91423,3.741357
19520229,-3.8014,-1.79125,-4.68477,0.790013,-5.74222,-1.82412,-2.15688,-4.19751,-6.61919,-5.26125,-0.73301,-1.43183,-0.86317,-2.03894,-3.61321,-5.20748,-1.21691,-3.03309,-1.82321,-7.33714,-2.07327,-0.08661,0.820666,-4.75513,-5.17404,-3.0214,-3.31272,-1.97383,-1.40497,-6.2876,0.525637,-1.49685,0.886495,-5.2425,-5.26734,-1.74487,0.108455,-1.47583,-1.64021,-1.96952,-2.42603,-1.76846,-0.21467,-2.68838,-5.2834,-2.04318,-1.82721,-0.25848,-4.18921,-5.56094
19520331,-1.89659,1.834049,0.829669,6.93018,9.265933,1.357653,-0.05018,2.455454,3.87715,6.338629,2.918252,1.780526,4.244122,-0.18862,9.347011,5.332091,3.826798,2.369431,1.674394,5.997336,5.609505,4.691666,8.370923,0.738848,5.174831,-1.02854,1.938405,1.11078,1.347545,6.189569,-0.63971,1.072966,2.268151,0.371831,3.147172,5.187819,2.217657,2.789798,0.634953,5.036877,4.549771,3.428434,3.993272,2.176116,8.068894,2.896205,3.288141,4.057722,1.324446,5.274396
19520430,-5.06644,-0.37248,-5.00226,-3.43248,-8.80422,-5.55877,-3.17536,-5.41109,-9.16268,-7.55705,-2.39129,-2.34857,-3.14932,-3.57774,-9.82203,-7.26795,-6.8876,-4.55914,-5.50973,-10.8425,-3.86495,-6.79718,-3.25128,-4.93619,-9.08286,-4.01763,-2.85502,-4.23617,-3.81634,-6.79385,-7.27663,-4.09896,-2.56128,-5.58414,-7.00881,-3.35079,-4.49995,-4.91169,-4.44396,-7.7846,-6.13245,-4.25129,-3.59097,-5.79983,-9.61554,-2.63671,-6.29874,-5.5115,-4.42046,-9.89966
19520529,0.154333,2.333581,4.237225,2.051327,4.228619,0.752208,6.048505,2.077305,5.005737,3.916991,3.807694,3.921259,2.733583,1.89052,3.05262,1.53089,3.29227,1.372267,5.069353,4.773881,3.017551,-1.77448,3.631121,4.440371,4.62913,-0.17483,3.57274,3.694363,1.256545,3.032786,0.37176,4.067636,1.901915,5.02826,3.037372,4.1162,3.417665,2.538933,2.668224,3.057509,1.230221,0.839343,1.148377,5.200884,2.658662,2.855997,-6.21857,3.739802,4.823802,3.113923
19520630,-0.25818,0.253603,1.38051,3.696619,4.517118,4.293013,-1.6124,5.552534,3.364798,6.707378,-3.0116,4.139727,2.417996,2.253592,3.980042,3.378724,6.270961,2.544823,7.267891,7.033156,3.612741,2.321555,5.228787,5.617183,6.657914,0.834855,3.407175,1.348338,4.011009,4.97601,3.639716,1.000704,4.249342,5.374073,6.055894,0.103966,4.243493,2.226921,3.40157,4.680972,4.38309,3.310042,3.324308,4.617831,5.290677,2.37562,3.018107,5.5118,3.670192,6.945898
19520731,0.868,1.075827,-0.79084,-1.35116,-1.42007,1.545578,5.26527,0.874011,2.2525,-1.09816,0.887888,0.758219,-0.04728,2.361436,-0.49529,2.088188,-0.81869,1.247552,-1.44913,-0.89655,0.816807,3.583986,3.014147,0.470753,2.476244,0.903217,1.232741,1.04386,-2.20667,0.762373,0.623785,3.618191,0.394644,2.334882,-1.91152,0.72461,1.647822,2.577132,1.241035,0.09212,0.467457,0.250944,0.881154,0.865954,0.735724,-0.91776,2.623166,4.565655,1.093518,2.949888
