date,szmv1,szmv2,szmv3,szmv4,szmv5,szmv6,szmv7,szmv8,szmv9,szmv10,szmv11,szmv12,szmv13,szmv14,szmv15,szmv16,szmv17,szmv18,szmv19,szmv20,szmv21,szmv22,szmv23,szmv24,szmv25,szme1,szme2,szme3,szme4,szme5,szme6,szme7,szme8,szme9,szme10,szme11,szme12,szme13,szme14,szme15,szme16,szme17,szme18,szme19,szme20,szme21,szme22,szme23,szme24,szme25
19270131,-1.13039,1.202501,3.825711,3.237349,-0.24284,-3.00645,9.296323,-0.17742,0.270264,1.732149,-5.49252,1.953367,1.966749,3.224632,0.972183,-1.30749,3.115132,-0.36171,0.304758,1.631829,-6.16453,-1.0859,0.104119,0.555291,-0.98419,3.915828,0.00476,2.107993,2.032158,-3.82614,-2.61732,9.620872,-0.37317,0.644207,1.181981,-5.46789,2.217526,2.604722,3.381671,0.516597,-1.0098,3.388024,-0.3102,0.495304,1.909255,-3.62385,-1.23112,-0.26014,0.638698,-0.21063
19270228,5.420535,8.178677,9.359005,8.550981,2.894927,4.569599,6.815861,5.668921,7.358092,6.117273,6.32726,7.43999,6.838322,6.378417,5.824667,7.769111,12.33826,2.900749,3.895946,5.056275,5.424335,5.643545,3.032205,3.224228,5.740483,5.475268,7.285536,8.729479,7.19765,1.192766,4.08643,6.996777,5.690568,8.593145,6.471346,7.482539,7.502139,6.73647,6.797282,5.99751,7.749798,15.24096,2.978323,4.078742,5.966509,8.758342,4.354716,4.485634,3.290592,4.413068
19270331,-5.03927,1.526821,-6.24809,-1.99698,-0.48449,-3.2605,-5.18645,-0.39485,-0.19648,-0.20363,-3.9104,-4.52135,-2.92044,-2.24844,-1.32174,-10.453,-5.11766,-1.42668,-0.28512,3.228437,3.846628,-4.39697,-1.2579,2.004298,3.192159,-5.35104,1.343685,-6.85658,-0.46074,-9.91547,-2.58232,-5.20439,-0.42314,-0.72914,-0.17241,-5.17221,-4.08101,-2.76056,-2.76144,-1.06868,-9.04294,-4.5657,-1.05008,-0.45176,3.245093,3.908298,-5.83254,-0.56555,1.199794,0.507658
19270430,0.687027,0.510943,-0.90774,10.66809,5.181971,-1.25144,-0.14579,-1.90031,1.580616,5.309734,-6.71312,-1.40479,0.692246,-0.28394,3.716085,-1.92172,-1.13145,0.5472,-0.07136,1.751672,,-2.17147,0.721123,1.230729,3.800707,3.125535,-0.39965,-2.04091,12.53758,3.402325,-1.37795,-0.15152,-2.22575,1.917405,7.003513,-7.14921,-1.1724,0.645569,-0.81982,3.816999,-0.55155,-0.87736,0.892815,-0.28612,1.717394,,-0.31094,0.895581,0.180552,1.333964
19270531,3.656246,15.19418,7.179935,16.23871,22.75278,0.971049,5.622165,17.13833,5.142013,6.612994,-1.00092,4.919713,8.311193,5.894706,7.943502,5.751194,3.767391,3.401152,8.447919,8.636919,5.312509,3.484794,5.906077,5.756596,6.814729,2.444529,10.48107,5.23395,16.40182,10.81599,0.639109,5.694787,17.86872,5.380534,7.762344,-0.49154,4.639059,8.703076,6.06479,7.676968,5.848055,4.730616,3.388846,9.030288,9.753452,3.573124,3.188295,5.457644,7.084701,8.084958
19270630,-4.37165,-4.2083,-0.59837,-1.30137,-6.82591,-1.20961,0.480058,1.20655,0.990939,-4.42046,-4.30688,-0.33316,1.251939,-0.94342,-2.21024,-6.1254,-3.02083,-2.37157,-1.5103,-2.20244,-3.2314,-3.18548,-2.07541,-2.10644,-1.93798,-4.89214,-2.38738,-4.94687,2.613434,-7.41715,-2.3506,0.973649,2.624262,1.086197,-4.71564,-3.98731,-1.43998,0.93334,-1.43842,-2.07911,-5.89652,-3.31215,-2.43069,-1.4512,-2.01546,-6.81974,-4.00996,-2.25229,-2.62906,-1.55112
19270730,2.115989,5.694295,4.150393,1.630459,8.796374,5.612734,5.739736,3.35378,4.012074,7.18857,4.269992,3.638729,3.325379,5.258599,9.604498,6.7236,5.062032,7.69822,7.552232,5.984916,3.407125,4.27938,8.202477,8.358875,11.71475,5.738435,7.99082,3.388528,4.875229,7.787757,5.491378,5.781564,3.486922,3.744303,7.154078,3.324589,3.186657,2.878336,5.241507,9.56203,6.573495,5.382844,7.206518,7.315043,5.302245,3.323175,5.817376,7.561941,7.627118,8.496369
19270831,-0.24756,-5.07359,-4.11868,-2.75356,2.091839,1.824238,-0.74165,1.807338,0.133186,1.574142,2.334029,-2.88246,2.073497,1.749984,-0.90085,-2.92067,4.62448,1.297409,3.158889,-2.09376,0.835647,1.845403,1.580478,2.536167,5.047348,-0.40455,-5.04824,-3.38259,-2.31559,0.127471,2.315711,-0.42595,1.686459,0.300581,1.480033,1.541712,-3.07149,2.204206,1.8845,-0.57581,-2.20135,3.957348,1.014198,2.454917,-2.33974,1.437176,2.209838,1.576049,1.321656,1.447358
19270930,1.307604,-3.29605,-0.29739,2.716872,2.289548,2.95603,1.460947,-0.70491,1.884525,3.856358,2.420461,4.296303,2.667707,3.068176,2.390586,2.779108,4.423839,5.80017,4.434575,10.58992,-0.51039,3.754615,5.23107,4.918265,6.154544,1.862284,-4.66987,-0.98136,0.840179,-0.43292,1.756031,1.577664,-0.82776,2.261449,3.852033,2.797583,3.939566,2.367866,2.549645,2.765999,2.602194,4.562311,6.443414,4.320927,10.91552,-0.47191,3.381521,4.72897,5.155449,5.641944
19271031,-7.56597,-6.07549,-0.81909,0.061533,-8.71329,-4.86364,-4.63092,-1.86432,-0.52155,-3.76562,-1.90284,-4.17798,-0.74087,-2.31029,-0.13791,-5.48804,-3.03801,-2.65756,-2.52561,-4.64819,-1.01048,-1.94587,-3.56601,-4.96855,-5.80673,-7.29611,-6.9143,0.429573,1.477375,-8.85914,-5.04452,-5.07643,-2.24294,-0.41226,-4.18879,-1.80826,-4.4847,-0.4804,-2.5693,-0.54481,-5.51148,-3.11591,-3.00997,-2.50418,-4.83503,-1.94512,-3.25846,-3.64042,-3.56909,-5.66094
19271130,19.9708,3.489558,16.96965,18.45948,8.403652,12.28512,11.3292,10.85756,9.341769,8.740938,10.12854,11.31405,5.734595,5.994347,9.765897,6.727962,7.546348,6.246657,6.515367,6.935267,2.798763,3.922559,5.390174,7.942901,8.557398,25.6743,3.928661,16.36858,15.8981,7.585308,13.47617,12.33726,8.845946,10.21998,8.41252,8.953194,11.23149,5.503719,5.905694,8.947087,6.723947,7.905723,6.647768,5.91067,6.952116,3.379204,4.618843,7.45452,8.544121,8.55372
19271231,3.489056,6.595763,8.691247,-7.19516,9.26692,-1.38564,1.809581,10.45368,-0.9231,3.754507,4.271722,3.275346,4.444141,3.897809,1.239381,6.427058,5.367106,1.354996,2.809219,5.596269,-1.88118,0.634127,1.228463,1.111353,5.193,3.479753,5.649051,11.87085,-5.7506,6.294884,-0.98229,1.250009,9.316894,-1.85059,4.472032,4.024612,3.003823,5.369551,3.498797,2.725591,8.234023,4.892126,1.661906,2.276707,4.808338,-1.33051,1.877315,1.767675,1.146016,6.640901
19280131,2.644367,12.57636,-4.19306,0.513008,6.372996,4.338697,0.727702,1.000119,3.58343,5.321633,-1.50963,2.456294,2.344061,1.617568,4.010988,-2.49518,-2.66031,2.617206,0.389034,0.287248,-2.22271,-1.68124,-0.17486,-0.28493,-1.92249,4.920174,12.81149,-0.10813,1.279154,24.34056,4.48607,0.322725,1.082603,3.398042,6.373712,-1.64297,2.25607,2.10803,2.057526,3.529845,-3.12061,-1.75337,2.425596,0.500819,0.555205,-2.73465,-1.14624,-0.31463,1.053325,0.391953
19280229,0.653647,-1.69038,7.208642,-6.59264,-5.05702,-3.63692,-3.91833,-1.54288,-6.17318,-5.2696,-4.17335,-3.01549,-2.19949,-1.77834,-4.362,-2.44089,-2.83531,-1.59928,-3.53009,-5.55141,0.193887,-0.89077,-0.3661,-2.10891,-0.45355,1.344019,-1.51492,1.856262,-8.81314,-6.4527,-3.84664,-3.32085,-2.57985,-5.49894,-5.76408,-3.93497,-3.51991,-1.642,-2.27528,-4.69549,-2.81893,-3.48787,-1.61428,-3.02991,-4.7376,-0.10801,-2.07189,-0.63799,-2.65937,-1.17224
19280331,7.133344,3.959855,8.389447,0.394908,1.47006,8.319831,4.444071,7.261593,8.713057,10.97087,2.288509,9.613707,10.24161,4.892968,8.234559,11.05084,5.015006,6.23626,8.352098,8.901513,5.198092,5.086351,5.034413,6.607285,21.63889,6.923499,4.633316,13.35176,0.083567,3.036296,8.58901,4.057727,7.243324,8.759264,11.43679,2.427105,9.815487,10.5167,5.224737,8.481091,10.43184,5.20328,5.677648,8.365224,9.872546,5.005086,7.874133,5.38519,6.721489,15.48745
19280430,12.68055,36.33571,16.63082,6.360425,9.394295,7.280049,4.031855,28.92281,3.788733,7.808058,4.841158,7.698899,7.483279,5.581191,7.3112,7.313959,3.710922,9.880289,0.074025,5.371094,8.764834,11.48325,3.32377,2.174967,0.671903,12.95101,53.73018,22.93568,6.940243,9.446331,5.739786,4.010419,24.95296,3.472545,6.939899,5.10506,7.235097,6.430734,5.316202,6.582226,6.816342,4.0215,10.39054,0.205362,5.838458,9.912444,8.363918,3.230943,2.083532,0.918425
