Var,Movave,Variable,N,Mean,StdDev,Skew,Kurt,Min,Q1,Median,Q3,Max,Sharpe
MKTRF,0,m,1123,0.665913,5.320090,0.177272,7.884972,-29.130000,-1.970000,1.030000,3.630000,38.850000,0.4335996978
MKTRF,1,s,1122,0.603692,3.970934,-0.624934,2.995208,-27.677871,-1.714846,0.889714,2.938148,13.666559,0.5266393523
MKTRF,2,s,1121,0.562870,3.809185,-0.618454,2.816125,-25.560365,-1.677291,0.822543,2.868703,14.053251,0.5118778068
MKTRF,3,s,1120,0.550108,3.782146,-0.793396,4.392685,-29.405738,-1.654263,0.819246,2.818662,13.755939,0.5038485811
MKTRF,4,s,1119,0.553602,3.743918,-0.851230,4.922882,-29.809038,-1.667478,0.829679,2.873877,13.726778,0.5122265765
MKTRF,5,s,1118,0.546413,3.690935,-0.737774,3.533070,-26.471372,-1.638034,0.816880,2.850983,12.041946,0.5128320341
MKTRF,6,s,1117,0.544100,3.651995,-0.699459,3.269754,-26.106803,-1.625025,0.810372,2.799949,11.954662,0.5161064304
MKTRF,7,s,1117,0.547425,3.624685,-0.691408,3.187931,-25.567484,-1.649618,0.803833,2.805709,12.009494,0.52317308
MKTRF,8,s,1116,0.554942,3.605134,-0.643284,2.839132,-24.212909,-1.614589,0.791811,2.838736,12.229226,0.5332325779
MKTRF,9,s,1115,0.551208,3.568302,-0.546040,1.994530,-20.318535,-1.581270,0.786060,2.844225,12.435376,0.5351121641
MKTRF,10,s,1114,0.553715,3.519696,-0.438182,1.321639,-17.286523,-1.554231,0.791472,2.820214,12.463785,0.544968662
MKTRF,11,s,1113,0.548803,3.520231,-0.440895,1.359205,-17.420252,-1.558410,0.798483,2.806322,12.614104,0.5400528611
MKTRF,12,s,1112,0.544753,3.512656,-0.451096,1.422681,-17.858361,-1.577975,0.771166,2.767582,12.692875,0.5372226347
MKTRF,13,s,1112,0.547907,3.511863,-0.440943,1.354939,-16.969265,-1.575426,0.769018,2.771766,12.755833,0.5404556606
MKTRF,14,s,1111,0.547104,3.506233,-0.465319,1.411971,-17.158631,-1.582170,0.774376,2.806347,11.918548,0.5405304214
MKTRF,15,s,1110,0.534894,3.498641,-0.478021,1.444386,-16.917633,-1.546054,0.771003,2.727708,11.956663,0.529613619
MKTRF,16,s,1109,0.532079,3.498441,-0.478178,1.467004,-17.114301,-1.556678,0.745346,2.734470,12.122787,0.5268561907
MKTRF,17,s,1108,0.523609,3.501997,-0.492317,1.540399,-17.279894,-1.552794,0.731953,2.732085,11.886201,0.5179430388
