Movave,MKTRF,SMB,HML,SMB5,RMW,CMA,MOM,STR,LTR
0,7.885,19.544,19.093,3.2251,12.524,1.6383,27.647,8.2855,25.019
1,2.9952,1.8659,3.2482,1.9582,0.8388,0.02,2.7342,2.1525,1.38
2,2.8161,1.9576,3.8123,2.0034,0.5745,-0.144,2.0426,1.827,1.2796
3,4.3927,1.9452,3.7774,1.5979,0.6123,-0.23,2.2721,1.9761,1.1943
4,4.9229,2.099,3.3982,1.4842,0.7746,-0.152,2.6293,1.8281,1.4336
5,3.5331,2.3716,3.5288,1.3522,1.0241,-0.053,3.3461,2.1111,1.534
6,3.2698,2.1944,2.4904,1.4341,1.2134,-0.075,2.7626,1.9569,1.661
7,3.1879,1.9906,2.0515,1.5608,1.4085,-0.039,2.4553,2.068,1.8642
8,2.8391,2.0089,2.0052,1.5381,1.474,-0.049,2.4543,2.0376,1.8312
9,1.9945,1.9904,1.9249,1.6433,1.61,-0.054,2.333,2.2428,1.8558
10,1.3216,2.0456,1.9622,1.7385,1.2934,-0.022,2.4282,2.3886,1.9347
11,1.3592,2.1073,1.881,1.7475,1.3403,0.0137,2.5717,2.5046,1.8452
12,1.4227,2.2053,1.7975,1.8362,1.4621,0.0366,2.6476,2.6221,1.738
13,1.3549,2.2956,1.8369,1.9003,1.4311,0.079,2.6807,2.6251,1.6725
14,1.412,2.1552,1.8163,1.9721,1.5312,0.1103,2.7841,2.5267,1.6943
15,1.4444,2.2021,1.7384,2.0374,1.6289,0.1193,2.9223,2.6506,1.699
16,1.467,2.1698,1.8337,2.0594,1.6411,0.1584,2.9426,2.6073,1.7326
17,1.5404,2.1743,1.8959,2.0956,1.7295,0.1854,2.8737,2.7334,1.7555
18,1.5458,2.2075,2.0037,2.1348,1.7803,0.2467,2.8146,2.863,1.8279
19,1.5371,2.2248,2.0722,2.1667,1.9216,0.2937,2.9082,2.9573,1.9275
20,1.5942,2.2804,2.1634,2.281,2.0548,0.3334,2.9898,3.0142,1.996
21,1.6478,2.2829,2.225,2.2988,2.2181,0.3852,3.0139,3.1204,2.0915
22,1.7166,2.3784,2.2819,2.3661,2.3417,0.4548,3.0989,3.2612,2.2009
23,1.7616,2.413,2.1745,2.414,2.4927,0.4756,3.0629,3.329,2.3001
24,1.797,2.4219,2.2483,2.4285,2.6693,0.5104,3.1143,3.4743,2.3654
