Movave,MKTRF,SMB,HML,SMB5,RMW,CMA,MOM,STR,LTR
0,0.6659,0.1944,0.3486,0.221,0.2567,0.2705,0.6558,0.7068,0.2783
1,0.6037,0.1882,0.5209,0.2928,0.6224,0.5023,1.2107,0.6453,0.1549
2,0.5629,0.1944,0.5376,0.2611,0.571,0.4966,1.1666,0.6347,0.1587
3,0.5501,0.1892,0.5216,0.2553,0.5524,0.5089,1.1701,0.6116,0.1722
4,0.5536,0.1909,0.5226,0.2669,0.5212,0.5349,1.1666,0.6044,0.1721
5,0.5464,0.2075,0.5221,0.2731,0.5353,0.5318,1.1341,0.6134,0.1743
6,0.5441,0.2071,0.5119,0.2853,0.5315,0.5266,1.1215,0.6048,0.1822
7,0.5474,0.2113,0.5034,0.2883,0.529,0.5152,1.1231,0.6024,0.1862
8,0.5549,0.2093,0.4943,0.2724,0.5379,0.506,1.1085,0.6034,0.1858
9,0.5512,0.2069,0.4886,0.2849,0.5401,0.5105,1.1027,0.6027,0.1854
10,0.5537,0.2118,0.4897,0.2846,0.5439,0.5052,1.0863,0.5968,0.1807
11,0.5488,0.2109,0.4834,0.2909,0.5474,0.504,1.07,0.589,0.179
12,0.5448,0.2118,0.4718,0.2992,0.548,0.4992,1.0586,0.5891,0.1708
13,0.5479,0.211,0.4716,0.2969,0.5545,0.4887,1.0472,0.5916,0.1718
14,0.5471,0.2029,0.4706,0.2899,0.5568,0.4826,1.0314,0.5977,0.1638
15,0.5349,0.205,0.4709,0.2909,0.5606,0.472,1.0243,0.5982,0.1571
16,0.5321,0.2005,0.4777,0.2858,0.5602,0.4693,1.0147,0.6025,0.153
17,0.5236,0.2086,0.474,0.2951,0.5573,0.4645,1.0043,0.6034,0.1467
18,0.5262,0.2054,0.4835,0.3038,0.5488,0.4718,1.0003,0.6026,0.1477
19,0.5275,0.2069,0.487,0.2954,0.5423,0.4739,0.9958,0.6021,0.1507
20,0.5211,0.2028,0.4878,0.2713,0.5413,0.4734,0.988,0.5987,0.1586
21,0.5152,0.2032,0.4903,0.2773,0.5358,0.4755,0.9893,0.5969,0.1669
22,0.5161,0.1991,0.4907,0.2755,0.5345,0.4833,0.9808,0.5979,0.1673
23,0.5188,0.2029,0.4906,0.2964,0.538,0.4779,0.9713,0.6001,0.1703
24,0.5102,0.2006,0.4932,0.2965,0.5394,0.4731,0.9651,0.6048,0.1726
