Movave,MKTRF,SMB,HML,SMB5,RMW,CMA,MOM,STR,LTR
0,0.4336,0.2118,0.3467,0.2544,0.4125,0.4701,0.4839,0.7179,0.2794
1,0.5266,0.1416,0.3973,0.2195,0.5237,0.4347,0.9242,0.6874,0.1251
2,0.5119,0.1515,0.4228,0.2023,0.4964,0.4441,0.9205,0.726,0.1326
3,0.5038,0.1499,0.4196,0.2011,0.4882,0.4643,0.9386,0.7169,0.1458
4,0.5122,0.1528,0.4238,0.2136,0.4642,0.4917,0.9344,0.7171,0.1467
5,0.5128,0.1676,0.4236,0.2218,0.4761,0.4903,0.912,0.7319,0.1493
6,0.5161,0.1682,0.4217,0.2317,0.4737,0.4885,0.9072,0.734,0.1568
7,0.5232,0.1722,0.4179,0.2329,0.4713,0.4789,0.9123,0.7345,0.1607
8,0.5332,0.171,0.4119,0.22,0.4803,0.4717,0.9047,0.7413,0.1611
9,0.5351,0.1696,0.4085,0.2303,0.4833,0.4764,0.9037,0.7429,0.1615
10,0.545,0.1741,0.4105,0.23,0.4888,0.4715,0.8887,0.7382,0.1578
11,0.5401,0.1733,0.4067,0.2349,0.4917,0.4689,0.8728,0.7304,0.1568
12,0.5372,0.1741,0.3992,0.2417,0.4913,0.4646,0.8622,0.7302,0.1501
13,0.5405,0.1735,0.3993,0.2396,0.4965,0.4551,0.8541,0.7331,0.1513
14,0.5405,0.1676,0.3987,0.2343,0.4984,0.4495,0.8405,0.7455,0.1442
15,0.5296,0.1696,0.3997,0.2351,0.5011,0.4401,0.8321,0.7461,0.1385
16,0.5269,0.1665,0.4063,0.2311,0.5014,0.4374,0.8237,0.7561,0.135
17,0.5179,0.1738,0.4027,0.2383,0.4976,0.4325,0.8156,0.758,0.1295
18,0.5212,0.1711,0.411,0.245,0.4892,0.4387,0.8121,0.7552,0.1301
19,0.5235,0.1725,0.4135,0.2384,0.4827,0.4392,0.8092,0.7536,0.1325
20,0.5179,0.1691,0.4134,0.2193,0.48,0.4379,0.8031,0.7501,0.1392
21,0.5116,0.1691,0.415,0.2236,0.4749,0.4387,0.8053,0.746,0.1463
22,0.5113,0.1656,0.4148,0.2214,0.4726,0.4459,0.7971,0.7451,0.1464
23,0.5134,0.1688,0.4153,0.2393,0.4748,0.4404,0.789,0.7479,0.1489
24,0.5063,0.1673,0.4168,0.2397,0.4759,0.4355,0.7831,0.7553,0.1509
