Movave,MKTRF,SMB,HML,SMB5,RMW,CMA,MOM,STR,LTR
0,0.1773,1.9435,2.1679,0.3878,-0.309,0.3135,-3.021,0.9826,2.9252
1,-0.625,0.062,0.6378,-0.011,0.069,0.1778,-0.511,-0.096,0.1996
2,-0.618,0.1608,0.7482,0.064,0.0752,0.1061,-0.477,-0.022,0.2358
3,-0.793,0.1942,0.7644,0.0211,-0.017,0.139,-0.455,-0.007,0.3449
4,-0.851,0.3017,0.7366,0.0899,-0.082,0.171,-0.448,0.001,0.3834
5,-0.738,0.4183,0.7584,0.1355,-0.098,0.1979,-0.521,0.0656,0.4252
6,-0.699,0.4082,0.6279,0.1773,-0.124,0.1766,-0.415,-0.005,0.464
7,-0.691,0.3697,0.5683,0.185,-0.155,0.1696,-0.364,0.0518,0.5184
8,-0.643,0.3268,0.5574,0.1331,-0.145,0.1839,-0.398,0.1759,0.56
9,-0.546,0.3006,0.549,0.1469,-0.161,0.1746,-0.368,0.1956,0.5571
10,-0.438,0.2944,0.5558,0.1463,-0.12,0.163,-0.418,0.2111,0.5508
11,-0.441,0.2833,0.5337,0.1309,-0.138,0.1634,-0.453,0.2373,0.5342
12,-0.451,0.2775,0.4933,0.1258,-0.15,0.158,-0.467,0.2269,0.4965
13,-0.441,0.2555,0.4849,0.1045,-0.15,0.1537,-0.496,0.2389,0.503
14,-0.465,0.2122,0.4594,0.0971,-0.169,0.1444,-0.53,0.293,0.5059
15,-0.478,0.1939,0.4348,0.0924,-0.18,0.1276,-0.551,0.3153,0.4891
16,-0.478,0.1691,0.4414,0.0962,-0.195,0.1244,-0.56,0.3559,0.4859
17,-0.492,0.1799,0.4388,0.1222,-0.215,0.1163,-0.548,0.3577,0.4759
18,-0.5,0.1768,0.4482,0.1301,-0.221,0.1118,-0.532,0.3668,0.4898
19,-0.494,0.1781,0.4635,0.1387,-0.242,0.1095,-0.53,0.3664,0.5109
20,-0.506,0.1716,0.4837,0.1285,-0.258,0.0955,-0.54,0.3585,0.5202
21,-0.511,0.1834,0.4869,0.1534,-0.279,0.088,-0.535,0.3619,0.5289
22,-0.519,0.1922,0.4819,0.1689,-0.288,0.0801,-0.532,0.3727,0.5479
23,-0.518,0.1911,0.4626,0.2123,-0.305,0.0786,-0.514,0.3761,0.5598
24,-0.54,0.1821,0.4665,0.2071,-0.32,0.0671,-0.51,0.4172,0.5678
