T,N,C
192706,299,0.0999241694
192707,320,0.0912221649
192708,323,0.098909922
192709,330,0.0995298493
192710,332,0.095990019
192711,335,0.0974796097
192712,338,0.0953792527
192801,348,0.0981726192
192802,344,0.1106328767
192803,347,0.1050880968
192804,351,0.108161454
192805,357,0.1168945747
192806,352,0.1510028854
192807,348,0.16382522
192808,352,0.1567568367
192809,351,0.1537354108
192810,355,0.1445823492
192811,365,0.1418464094
192812,357,0.1674444707
192901,345,0.1680734727
192902,343,0.1754028543
192903,341,0.2032710922
192904,332,0.2113942065
192905,326,0.2228325083
192906,324,0.1922751194
192907,330,0.1846517314
192908,329,0.1883227208
192909,317,0.2003759486
192910,286,0.3665990231
192911,289,0.4166964083
192912,287,0.4138069406
193001,287,0.4058447498
193002,284,0.4032025774
193003,282,0.3944831396
193004,290,0.3892479965
193005,289,0.388861024
193006,292,0.3904231732
193007,285,0.400010481
193008,274,0.4089288584
193009,273,0.4088906487
193010,296,0.3323345368
193011,303,0.2656902446
193012,305,0.2631314634
193101,315,0.2613401218
193102,308,0.2657184416
193103,306,0.2745547107
193104,301,0.2946204807
193105,305,0.2776086939
193106,296,0.2892822916
193107,293,0.2951750482
193108,285,0.3015110137
193109,292,0.3108614697
193110,292,0.3307955221
193111,295,0.3253019232
193112,304,0.3191192091
193201,310,0.3136689081
193202,308,0.3171042055
193203,314,0.3056328845
193204,311,0.2954539743
193205,325,0.2732932993
193206,314,0.2542966102
193207,317,0.2515192034
193208,325,0.2589310971
193209,332,0.2654071145
193210,330,0.2608336313
193211,324,0.2592198567
193212,326,0.2493254495
193301,325,0.2427529939
193302,330,0.2412737337
193303,334,0.2668340716
193304,341,0.2735884161
193305,349,0.2740081238
193306,369,0.2906203268
193307,372,0.3292498305
193308,283,0.3897571885
193309,280,0.3931583537
193310,281,0.4082959697
193311,286,0.4096316855
193312,287,0.420426096
193401,290,0.4277530057
193402,295,0.4383569706
193403,298,0.4177463499
193404,299,0.4285055398
193405,292,0.4477865097
193406,286,0.4498809194
193407,282,0.4313285601
193408,350,0.3822763131
193409,358,0.3701637918
193410,341,0.3459882416
193411,343,0.3438081776
193412,347,0.3321325873
193501,367,0.3204708197
193502,363,0.3132117148
193503,353,0.3008933437
193504,351,0.2964035996
193505,356,0.2786573742
193506,349,0.2704622859
193507,357,0.2180648197
193508,380,0.1928225327
193509,375,0.1899646529
193510,387,0.1887152085
193511,396,0.1928886839
193512,411,0.1907232342
193601,411,0.1821596119
193602,422,0.1715140364
193603,423,0.1736494166
193604,433,0.1901756682
193605,435,0.1924178953
193606,430,0.1893922628
193607,439,0.1937781555
193608,430,0.2019138888
193609,432,0.2006775625
193610,438,0.1982941817
193611,451,0.197199366
193612,458,0.1976697556
193701,452,0.2012470219
193702,457,0.2013752518
193703,461,0.1896672641
193704,449,0.1957343088
193705,445,0.2011062305
193706,458,0.2087969079
193707,463,0.2166766654
193708,477,0.2140300298
193709,492,0.2833332314
193710,497,0.3858624658
193711,507,0.3956215227
193712,508,0.392327454
193801,514,0.3907919459
193802,514,0.3904242956
193803,527,0.3899484003
193804,544,0.3848022982
193805,562,0.3734916497
193806,590,0.3682792635
193807,605,0.3674142131
193808,612,0.3679992697
193809,626,0.3595505996
193810,633,0.311241296
193811,636,0.2993058036
193812,638,0.3007640058
193901,644,0.303708603
193902,646,0.3052671506
193903,649,0.3098193851
193904,651,0.305892966
193905,646,0.3118567355
193906,643,0.3097488756
193907,646,0.304714076
193908,634,0.3103118191
193909,631,0.2844606703
193910,632,0.28626765
193911,636,0.2822771028
193912,636,0.2783220853
194001,637,0.2691608284
194002,633,0.2681756464
194003,629,0.2396952016
194004,633,0.2193978903
194005,638,0.2820825285
194006,638,0.2852583552
194007,637,0.2781874831
194008,634,0.2696177972
194009,636,0.2656332428
194010,634,0.2663887556
194011,633,0.2725550957
194012,638,0.2709345763
194101,642,0.2674927352
194102,642,0.2726243084
194103,642,0.2733662478
194104,638,0.2751683678
194105,638,0.1889585736
194106,636,0.1594710584
194107,644,0.1624550776
194108,637,0.1555443695
194109,635,0.1476313486
194110,630,0.1503345056
194111,636,0.124931849
194112,634,0.1650899903
194201,628,0.1648087687
194202,630,0.1559079548
194203,629,0.1551589297
194204,639,0.152936884
194205,641,0.1518099751
194206,640,0.1509868712
194207,630,0.1504941671
194208,640,0.1498740199
194209,640,0.1455550388
194210,647,0.1410456701
194211,641,0.1420066387
194212,634,0.0990510545
194301,633,0.0922033107
194302,631,0.0934007481
194303,625,0.0979707675
194304,620,0.1121142378
194305,615,0.1201439004
194306,608,0.1290038848
194307,617,0.1476966857
194308,615,0.1569497558
194309,613,0.1627800933
194310,603,0.1699005634
194311,596,0.1936927048
194312,595,0.1993139228
194401,590,0.2024898478
194402,593,0.2001809384
194403,605,0.2000223331
194404,603,0.1882153152
194405,594,0.1868305971
194406,594,0.1808402049
194407,594,0.1709673469
194408,594,0.1688367543
194409,590,0.1794752217
194410,598,0.1824114277
194411,605,0.1549027002
194412,607,0.1583049679
194501,614,0.1599776508
194502,611,0.1639822491
194503,610,0.1863467981
194504,615,0.183161852
194505,629,0.1843690815
194506,637,0.1865732369
194507,634,0.1924918199
194508,639,0.2048335514
194509,647,0.1985741348
194510,645,0.1975113854
194511,648,0.1983779216
194512,663,0.2063224897
194601,656,0.2177015752
194602,657,0.2655535265
194603,671,0.2535857753
194604,668,0.2489010523
194605,676,0.2499205965
194606,669,0.2605226357
194607,669,0.2607816381
194608,678,0.2660693438
194609,681,0.34628761
194610,687,0.3609464495
194611,694,0.365867156
194612,694,0.3669068177
194701,710,0.3615082639
194702,712,0.339047368
194703,718,0.3420458671
194704,722,0.3485687284
194705,734,0.3482462723
194706,746,0.3464498595
194707,756,0.3444971093
194708,757,0.3385417538
194709,763,0.2726692225
194710,755,0.2484166752
194711,756,0.2323088428
194712,759,0.2194099875
194801,733,0.2168526669
194802,735,0.2218636573
194803,733,0.2192395636
194804,728,0.1970503464
194805,729,0.1834102754
194806,730,0.1789688159
194807,733,0.1804814758
194808,740,0.1776811047
194809,745,0.1816516446
194810,746,0.1796806768
194811,751,0.2247620449
194812,758,0.2244816603
194901,791,0.2201167813
194902,778,0.2139015239
194903,779,0.2074533867
194904,781,0.2142654041
194905,779,0.2151855001
194906,783,0.2202697429
194907,785,0.2081233214
194908,790,0.2087211869
194909,796,0.2057088389
194910,808,0.2044685749
194911,812,0.1492480589
194912,808,0.1480342003
195001,817,0.1485108576
195002,843,0.1390728775
195003,846,0.135736582
195004,857,0.1341147395
195005,866,0.1245765236
195006,863,0.1599604509
195007,859,0.1725435172
195008,854,0.1690637281
195009,858,0.163009545
195010,858,0.1695260049
195011,857,0.1874213929
195012,854,0.2011538445
195101,847,0.2047394265
195102,843,0.2081289529
195103,839,0.2166819083
195104,831,0.222806636
195105,836,0.2270639448
195106,833,0.2005490687
195107,834,0.192201084
195108,835,0.1932378233
195109,837,0.1902980702
195110,839,0.1909254412
195111,830,0.1736859488
195112,831,0.1523922429
195201,841,0.1362423234
195202,834,0.1400185278
195203,832,0.1231068835
195204,834,0.1216037375
195205,831,0.1171269523
195206,832,0.1030640159
195207,835,0.0989061375
195208,827,0.098138036
195209,811,0.1018897071
195210,803,0.0930719465
195211,818,0.0894462354
195212,832,0.0866853109
195301,835,0.0880157941
195302,846,0.0839044527
195303,858,0.0959943976
195304,866,0.1036364949
195305,863,0.1031848715
195306,869,0.1213366338
195307,868,0.1259118345
195308,876,0.1352722821
195309,896,0.1506922029
195310,904,0.1452224794
195311,902,0.1428936415
195312,896,0.1473034643
195401,894,0.1511385004
195402,890,0.1489165302
195403,882,0.140474445
195404,888,0.1277153174
195405,888,0.1225493499
195406,887,0.1100383172
195407,892,0.1048546919
195408,894,0.0993802395
195409,902,0.0803762282
195410,905,0.0805555581
195411,906,0.0855350883
195412,906,0.0859697412
195501,901,0.0996517683
195502,897,0.0988497138
195503,898,0.1273583173
195504,896,0.1261052039
195505,899,0.133344199
195506,904,0.127392262
195507,912,0.1308986852
195508,914,0.1285201493
195509,901,0.1775215264
195510,899,0.1875636266
195511,881,0.1865041934
195512,878,0.1868796099
195601,883,0.1808684065
195602,885,0.1850332018
195603,886,0.1601793035
195604,884,0.1611127845
195605,890,0.1665141314
195606,887,0.1753014949
195607,880,0.1740549875
195608,876,0.1775067121
195609,883,0.1248637735
195610,874,0.117636919
195611,887,0.1229825182
195612,898,0.1228233229
195701,895,0.1179179368
195702,887,0.1239086262
195703,890,0.1240399184
195704,891,0.1235562507
195705,886,0.1070572544
195706,893,0.0993151399
195707,882,0.099796143
195708,877,0.1074784697
195709,875,0.1174288109
195710,856,0.1641068727
195711,853,0.1790796007
195712,844,0.1813775604
195801,843,0.1845976558
195802,840,0.1771955432
195803,831,0.1776685584
195804,834,0.1797653669
195805,836,0.1814542683
195806,835,0.1802684286
195807,842,0.1815948685
195808,834,0.1766374405
195809,833,0.1638069303
195810,847,0.1155611147
195811,858,0.1032816832
195812,854,0.0914712614
195901,854,0.0842287978
195902,865,0.0850545306
195903,874,0.0848637438
195904,875,0.0794602616
195905,863,0.0811270147
195906,869,0.0869813217
195907,870,0.084489991
195908,872,0.0887639188
195909,872,0.1048649586
195910,862,0.1018417851
195911,852,0.0881410578
195912,849,0.0858751232
196001,843,0.0896258257
196002,824,0.0907757297
196003,810,0.0949324694
196004,805,0.0969460417
196005,800,0.0937920265
196006,796,0.0850777046
196007,784,0.0915355046
196008,787,0.0856393612
196009,774,0.0837928867
196010,776,0.0908012275
196011,778,0.0951150689
196012,777,0.0971043646
196101,753,0.0967267461
196102,726,0.0948643067
196103,741,0.08709257
196104,742,0.0891998819
196105,751,0.089532197
196106,757,0.0972193721
196107,773,0.0928931237
196108,776,0.0902929116
196109,786,0.076896221
196110,775,0.0659372884
196111,781,0.0615586531
196112,794,0.0616591499
196201,811,0.0622864364
196202,850,0.0584096926
196203,822,0.0611639732
196204,822,0.0669159264
196205,804,0.1534195821
196206,797,0.1877306463
196207,791,0.1963790199
196208,795,0.1998134403
196209,814,0.2025929495
196210,826,0.2147953659
196211,832,0.2262014707
196212,828,0.2327339068
196301,837,0.237402065
196302,847,0.2400530039
196303,889,0.2409238281
196304,904,0.2360594601
196305,930,0.183826232
196306,960,0.1359710813
196307,1432,0.091690934
196308,1449,0.0893378857
196309,1491,0.0792962193
196310,1512,0.0570510699
196311,1498,0.0645160961
196312,1496,0.0616109711
196401,1485,0.0557570421
196402,1475,0.053138084
196403,1472,0.0505958159
196404,1481,0.0520121494
196405,1497,0.0518318919
196406,1497,0.0524634322
196407,1498,0.0492730564
196408,1513,0.0506392465
196409,1512,0.0490150654
196410,1529,0.0506316251
196411,1580,0.0269387677
196412,1642,0.028316329
196501,1689,0.0278519657
196502,1728,0.0305416539
196503,1781,0.0305936398
196504,1814,0.0285082245
196505,1831,0.0307908728
196506,1849,0.0620909027
196507,1865,0.0663455082
196508,1869,0.0637221087
196509,1883,0.0643259919
196510,1876,0.0633560016
196511,1882,0.0609305056
196512,1863,0.0598164126
196601,1832,0.0590903113
196602,1840,0.0586030291
196603,1816,0.0690275956
196604,1788,0.0696044193
196605,1772,0.0891861731
196606,1765,0.067208303
196607,1770,0.0692411097
196608,1765,0.0952287537
196609,1777,0.0996603131
196610,1782,0.1071541166
196611,1789,0.1101397159
196612,1800,0.1093713234
196701,1826,0.1145569058
196702,1835,0.1142573205
196703,1856,0.1060454771
196704,1897,0.1071635915
196705,1943,0.092532993
196706,1968,0.0958204724
196707,1970,0.0899652598
196708,1992,0.0677011093
196709,1990,0.060771334
196710,1991,0.0537044624
196711,1981,0.060020236
196712,1978,0.0587071347
196801,1955,0.0580706726
196802,1940,0.0657131033
196803,1940,0.0802373846
196804,1938,0.0832798736
196805,1942,0.0780454179
196806,1936,0.0730747343
