DATE,YYMM,MAX,LONG,RF
762,196202,0.0016991989,0.0012218348,0.0022583333
790,196203,0.0340045154,0.0330838077,0.0022916667
821,196204,-0.046594505,-0.049001128,0.0022833333
851,196205,-0.070134151,-0.073447438,0.00225
882,196206,-0.092615535,-0.092874551,0.0024166667
912,196207,0.0897832166,0.0915588876,0.0023833333
943,196208,0.0112433299,0.0107050445,0.0023416667
974,196209,-0.06058683,-0.062541604,0.0022833333
1004,196210,0.0083460748,0.0075229889,0.0022666667
1035,196211,0.1149654028,0.1153104856,0.0023833333
1065,196212,0.0239119163,0.0222022085,0.0024333333
1096,196301,0.0301246785,0.0325839411,0.0024416667
1127,196302,-0.019690286,-0.020339097,0.0024166667
1155,196303,0.0353585478,0.0369348011,0.002425
1186,196304,0.0432117437,0.0443059322,0.0024166667
1216,196305,-0.003853086,-0.002995668,0.0025
1247,196306,0.0066998189,0.0027128633,0.0024916667
1277,196307,0.0065189984,0.0059915187,0.002725
1308,196308,0.0489390707,0.0488051545,0.002825
1339,196309,-0.010102794,-0.009097738,0.0028083333
1369,196310,0.003728125,0.007602476,0.0029
1400,196311,0.0035195735,0.0028130446,0.0029166667
1430,196312,0.0343872116,0.0352243277,0.002925
1461,196401,0.0300529645,0.0323571291,0.0029166667
1492,196402,-0.000552811,0.0016219275,0.003
1521,196403,0.0363298436,0.0369550817,0.002925
1552,196404,0.0092896595,0.0063402883,0.002875
1582,196405,-0.004842169,-0.002220779,0.0028916667
1613,196406,0.0278598262,0.0272419012,0.0028916667
1643,196407,0.0254082486,0.0238356803,0.0028916667
1674,196408,-0.006157527,-0.008355458,0.0029166667
1705,196409,0.0240088336,0.0220293525,0.0029583333
1735,196410,0.0073026906,0.0041118432,0.0029583333
1766,196411,-0.011275165,-0.011490509,0.0032
1796,196412,0.0433822048,0.0411301552,0.0031833333
1827,196501,0.0053459815,0.0078654202,0.003225
1858,196502,-0.011840016,-0.011584558,0.003325
1886,196503,-0.039278802,-0.037531924,0.003275
1917,196504,0.0311895114,0.0324693273,0.0032583333
1947,196505,-0.000153616,-0.001927431,0.003225
1978,196506,-0.01857611,-0.018984905,0.003175
2008,196507,0.0139141608,0.014483609,0.003175
2039,196508,-0.003520487,-0.002226095,0.00325
2070,196509,0.0350514419,0.0330091968,0.00335
2100,196510,0.0051869045,0.0067417994,0.0033833333
2131,196511,0.0129743789,0.0117764495,0.0034416667
2161,196512,0.0188052917,0.0154661956,0.0037416667
2192,196601,0.0091809525,0.0082483995,0.0038583333
2223,196602,-0.047432642,-0.045425335,0.0038666667
2251,196603,0.0122038728,0.0114891667,0.0037666667
2282,196604,-0.013123811,-0.011650048,0.003875
2312,196605,-0.022788613,-0.020896221,0.0038666667
2343,196606,-0.019325548,-0.02015542,0.0038166667
2373,196607,0.024507902,0.0224338158,0.003975
2404,196608,-0.037608273,-0.036777337,0.0042166667
2435,196609,0.0082335556,0.0083279241,0.00445
2465,196610,0.0751461143,0.073414178,0.00435
2496,196611,-0.000241066,0.0036182236,0.0043
2526,196612,0.0198862917,0.0178299051,0.0040083333
2557,196701,0.0514404164,0.0529117257,0.0037583333
2588,196702,0.0024191706,0.0054676667,0.0037833333
2616,196703,0.0589451985,0.0587208479,0.0033416667
2647,196704,0.0363292956,0.0373102089,0.0031083333
2677,196705,-0.013577636,-0.014664014,0.0028833333
2708,196706,0.03016362,0.0314422924,0.0033333333
2738,196707,0.0626209674,0.0607980088,0.0034333333
2769,196708,-0.030735853,-0.030706521,0.00365
2800,196709,0.027946829,0.0300527035,0.0036583333
2830,196710,-0.012659661,-0.009692422,0.0038
2861,196711,0.0202664005,0.0211648657,0.004125
2891,196712,-0.000475106,0.0026058476,0.0042
2922,196801,-0.037002121,-0.037212037,0.0040666667
2953,196802,-0.004121322,-0.003595092,0.0041833333
2982,196803,0.0351096854,0.0346527192,0.0043083333
3013,196804,0.0739293107,0.0742959191,0.0045916667
3043,196805,-0.012143175,-0.009964205,0.0047333333
3074,196806,0.0055514928,0.0055986131,0.0044166667
3104,196807,0.0228989396,0.0200488461,0.0043083333
3135,196808,0.0237134266,0.0218788877,0.0043166667
3166,196809,-0.0184864,-0.018463992,0.0043
3196,196810,0.0275203035,0.0215721207,0.0045666667
3227,196811,0.0667180713,0.0679139932,0.0046
3257,196812,-0.060298964,-0.060713594,0.0052083333
3288,196901,0.0070691285,0.0045691311,0.0051583333
3319,196902,-0.039317058,-0.037612369,0.0051583333
3347,196903,0.0476208117,0.0474216739,0.0049916667
3378,196904,0.0025225031,0.0043662206,0.0048916667
3408,196905,0.0450589864,0.0426425723,0.0050666667
3439,196906,-0.066163874,-0.060329456,0.0052416667
3469,196907,-0.033500065,-0.034162408,0.0058833333
